"play_id","game_id","home_team","away_team","posteam","posteam_type","defteam","side_of_field","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","time","yrdln","ydstogo","ydsnet","desc","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","no_score_prob","opp_fg_prob","opp_safety_prob","opp_td_prob","fg_prob","safety_prob","td_prob","extra_point_prob","two_point_conversion_prob","ep","epa","total_home_epa","total_away_epa","total_home_rush_epa","total_away_rush_epa","total_home_pass_epa","total_away_pass_epa","air_epa","yac_epa","comp_air_epa","comp_yac_epa","total_home_comp_air_epa","total_away_comp_air_epa","total_home_comp_yac_epa","total_away_comp_yac_epa","total_home_raw_air_epa","total_away_raw_air_epa","total_home_raw_yac_epa","total_away_raw_yac_epa","wp","def_wp","home_wp","away_wp","wpa","home_wp_post","away_wp_post","total_home_rush_wpa","total_away_rush_wpa","total_home_pass_wpa","total_away_pass_wpa","air_wpa","yac_wpa","comp_air_wpa","comp_yac_wpa","total_home_comp_air_wpa","total_away_comp_air_wpa","total_home_comp_yac_wpa","total_away_comp_yac_wpa","total_home_raw_air_wpa","total_away_raw_air_wpa","total_home_raw_yac_wpa","total_away_raw_yac_wpa","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_inside_twenty","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_inside_twenty","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_id","passer_player_name","receiver_player_id","receiver_player_name","rusher_player_id","rusher_player_name","lateral_receiver_player_id","lateral_receiver_player_name","lateral_rusher_player_id","lateral_rusher_player_name","lateral_sack_player_id","lateral_sack_player_name","interception_player_id","interception_player_name","lateral_interception_player_id","lateral_interception_player_name","punt_returner_player_id","punt_returner_player_name","lateral_punt_returner_player_id","lateral_punt_returner_player_name","kickoff_returner_player_name","kickoff_returner_player_id","lateral_kickoff_returner_player_id","lateral_kickoff_returner_player_name","punter_player_id","punter_player_name","kicker_player_name","kicker_player_id","own_kickoff_recovery_player_id","own_kickoff_recovery_player_name","blocked_player_id","blocked_player_name","tackle_for_loss_1_player_id","tackle_for_loss_1_player_name","tackle_for_loss_2_player_id","tackle_for_loss_2_player_name","qb_hit_1_player_id","qb_hit_1_player_name","qb_hit_2_player_id","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_id","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_id","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_id","solo_tackle_2_player_id","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_id","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_id","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_id","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_id","assist_tackle_4_player_name","assist_tackle_4_team","pass_defense_1_player_id","pass_defense_1_player_name","pass_defense_2_player_id","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_id","fumbled_1_player_name","fumbled_2_player_id","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_id","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_id","fumble_recovery_2_player_name","return_team","return_yards","penalty_team","penalty_player_id","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv"
"36",2019121512,"SF","ATL","ATL","away","SF","SF",35,2019-12-15,900,1800,3600,"Half1",0,1,0,1,NA,0,"15:00","SF 35",0,16,"M.Wishnowsky kicks 65 yards from SF 35 to end zone, Touchback.","kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.00137367959113161,0.162631509518862,0.00444072635822802,0.25417863378643,0.23308117414857,0.00365571302658065,0.340638563570199,0,0,0.814998475712213,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.Wishnowsky","00-0034941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"55",2019121512,"SF","ATL","ATL","away","SF","ATL",75,2019-12-15,900,1800,3600,"Half1",0,1,0,1,"1",0,"15:00","ATL 25",10,16,"(15:00) D.Freeman up the middle to ATL 26 for 1 yard (S.Thomas; F.Warner).","run",1,0,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00137367959113161,0.162631509518862,0.00444072635822802,0.25417863378643,0.23308117414857,0.00365571302658065,0.340638563570199,0,0,0.814998475712213,-0.606238921954513,0.606238921954513,-0.606238921954513,0.606238921954513,-0.606238921954513,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.500006821721935,0.499993178278065,0.499993178278065,0.500006821721935,-0.0153641347764051,0.515357313054471,0.484642686945529,0.0153641347764051,-0.0153641347764051,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"00-0031285","D.Freeman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0033870","S.Thomas","SF","00-0034815","F.Warner","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"76",2019121512,"SF","ATL","ATL","away","SF","ATL",74,2019-12-15,861,1761,3561,"Half1",0,1,0,1,"2",0,"14:21","ATL 26",9,16,"(14:21) (Shotgun) M.Ryan pass short left to K.Barner to ATL 30 for 4 yards (M.Harris). Caught at ATL 23.  7-yac","pass",4,1,0,1,0,0,0,"short","left",-3,7,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00162298048084718,0.183432177036778,0.00519050335761556,0.286383792946079,0.217379435567208,0.00399048775522213,0.30200062285625,0,0,0.2087595537577,-0.225560893764963,0.831799815719476,-0.831799815719476,0.606238921954513,-0.606238921954513,0.225560893764963,-0.225560893764963,-1.28043972175462,1.05487882798966,-1.28043972175462,1.05487882798966,1.28043972175462,-1.28043972175462,-1.05487882798966,1.05487882798966,1.28043972175462,-1.28043972175462,-1.05487882798966,1.05487882798966,0.484642686945529,0.515357313054471,0.515357313054471,0.484642686945529,-0.00421254470616894,0.519569857760639,0.480430142239361,0.0153641347764051,-0.0153641347764051,0.00421254470616894,-0.00421254470616894,-0.0370573222298879,0.032844777523719,-0.0370573222298879,0.032844777523719,0.0370573222298879,-0.0370573222298879,-0.032844777523719,0.032844777523719,0.0370573222298879,-0.0370573222298879,-0.032844777523719,0.032844777523719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0026143","M.Ryan","00-0030465","K.Barner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SF",NA,"00-0034730",NA,"M.Harris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"100",2019121512,"SF","ATL","ATL","away","SF","ATL",70,2019-12-15,820,1720,3520,"Half1",0,1,0,1,"3",0,"13:40","ATL 30",5,16,"(13:40) (Shotgun) M.Ryan pass incomplete short right to J.Jones. PENALTY on SF-D.Reed Jr., Defensive Holding, 5 yards, enforced at ATL 30 - No Play.","no_play",0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00179237111904647,0.195744124452825,0.00460826558311876,0.300247490555855,0.195246817094242,0.0041773942477341,0.298183536947178,0,0,-0.0168013400072629,1.78637681290119,-0.954576997181709,0.954576997181709,0.606238921954513,-0.606238921954513,0.225560893764963,-0.225560893764963,NA,NA,0,0,1.28043972175462,-1.28043972175462,-1.05487882798966,1.05487882798966,1.28043972175462,-1.28043972175462,-1.05487882798966,1.05487882798966,0.480430142239361,0.519569857760639,0.519569857760639,0.480430142239361,0.0530072849260267,0.466562572834613,0.533437427165387,0.0153641347764051,-0.0153641347764051,0.00421254470616894,-0.00421254470616894,NA,NA,0,0,0.0370573222298879,-0.0370573222298879,-0.032844777523719,0.032844777523719,0.0370573222298879,-0.0370573222298879,-0.032844777523719,0.032844777523719,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"SF","00-0034384","D.Reed Jr.",5,0,NA,"Defensive Holding",0,0,0,0
"137",2019121512,"SF","ATL","ATL","away","SF","ATL",65,2019-12-15,815,1715,3515,"Half1",0,1,0,1,"1",0,"13:35","ATL 35",10,16,"(13:35) D.Freeman right tackle to ATL 35 for no gain (N.Bosa; A.Armstead).","run",0,0,0,0,0,0,0,NA,NA,NA,NA,"right","tackle",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00156450274702467,0.129096501417655,0.00192413541226564,0.200822980849438,0.270330352552077,0.00366952657790402,0.392592000443636,0,0,1.76957547289392,-0.710974757137025,-0.243602240044684,0.243602240044684,1.31721367909154,-1.31721367909154,0.225560893764963,-0.225560893764963,NA,NA,0,0,1.28043972175462,-1.28043972175462,-1.05487882798966,1.05487882798966,1.28043972175462,-1.28043972175462,-1.05487882798966,1.05487882798966,0.533437427165387,0.466562572834613,0.466562572834613,0.533437427165387,-0.0192713742094768,0.48583394704409,0.51416605295591,0.0346355089858819,-0.0346355089858819,0.00421254470616894,-0.00421254470616894,NA,NA,0,0,0.0370573222298879,-0.0370573222298879,-0.032844777523719,0.032844777523719,0.0370573222298879,-0.0370573222298879,-0.032844777523719,0.032844777523719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"00-0031285","D.Freeman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0035717","N.Bosa","SF","00-0032164","A.Armstead","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"158",2019121512,"SF","ATL","ATL","away","SF","ATL",65,2019-12-15,776,1676,3476,"Half1",0,1,0,1,"2",0,"12:56","ATL 35",10,16,"(12:56) (Shotgun) D.Freeman right tackle to ATL 41 for 6 yards (E.Moseley).","run",6,1,0,0,0,0,0,NA,NA,NA,NA,"right","tackle",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00192101434772152,0.151807654838198,0.00282949232985572,0.237256723289336,0.260675069249906,0.00402316028160834,0.341486885663374,0,0,1.0586007157569,0.132639081598644,-0.376241321643328,0.376241321643328,1.18457459749289,-1.18457459749289,0.225560893764963,-0.225560893764963,NA,NA,0,0,1.28043972175462,-1.28043972175462,-1.05487882798966,1.05487882798966,1.28043972175462,-1.28043972175462,-1.05487882798966,1.05487882798966,0.51416605295591,0.48583394704409,0.48583394704409,0.51416605295591,0.00583088391374875,0.480003063130341,0.519996936869659,0.0288046250721331,-0.0288046250721331,0.00421254470616894,-0.00421254470616894,NA,NA,0,0,0.0370573222298879,-0.0370573222298879,-0.032844777523719,0.032844777523719,0.0370573222298879,-0.0370573222298879,-0.032844777523719,0.032844777523719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0031285","D.Freeman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SF",NA,"00-0034096",NA,"E.Moseley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"179",2019121512,"SF","ATL","ATL","away","SF","ATL",59,2019-12-15,733,1633,3433,"Half1",0,1,0,1,"3",0,"12:13","ATL 41",4,16,"(12:13) (Shotgun) M.Ryan pass incomplete short middle to A.Hooper (M.Harris).","pass",0,1,0,1,0,0,0,"short","middle",7,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00209615587542907,0.149225908480039,0.00219131114938386,0.230330818065301,0.25919039484141,0.00414263881834905,0.352822772770087,0,0,1.19123979735554,-1.95770780149773,1.5814664798544,-1.5814664798544,1.18457459749289,-1.18457459749289,2.18326869526269,-2.18326869526269,2.1363497067064,-4.09405750820413,0,0,1.28043972175462,-1.28043972175462,-1.05487882798966,1.05487882798966,-0.855909984951785,0.855909984951785,3.03917868021448,-3.03917868021448,0.519996936869659,0.480003063130341,0.480003063130341,0.519996936869659,-0.0572038493923794,0.53720691252272,0.46279308747728,0.0288046250721331,-0.0288046250721331,0.0614163940985483,-0.0614163940985483,0.0671014663626652,-0.124305315755045,0,0,0.0370573222298879,-0.0370573222298879,-0.032844777523719,0.032844777523719,-0.0300441441327773,0.0300441441327773,0.0914605382313256,-0.0914605382313256,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0026143","M.Ryan","00-0032392","A.Hooper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0034730","M.Harris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"201",2019121512,"SF","ATL","ATL","away","SF","ATL",59,2019-12-15,729,1629,3429,"Half1",0,1,0,1,"4",0,"12:09","ATL 41",4,16,"(12:09) R.Allen punts 59 yards to end zone, Center-J.Harris, Touchback.","punt",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00262903996916615,0.220832447727646,0.00340570022665873,0.336779275303939,0.190972317975211,0.00605796377712945,0.23932325502025,0,0,-0.766468004142189,0.388359177057298,1.1931073027971,-1.1931073027971,1.18457459749289,-1.18457459749289,2.18326869526269,-2.18326869526269,NA,NA,0,0,1.28043972175462,-1.28043972175462,-1.05487882798966,1.05487882798966,-0.855909984951785,0.855909984951785,3.03917868021448,-3.03917868021448,0.46279308747728,0.53720691252272,0.53720691252272,0.46279308747728,0.04062519362491,0.49658171889781,0.50341828110219,0.0288046250721331,-0.0288046250721331,0.0614163940985483,-0.0614163940985483,NA,NA,0,0,0.0370573222298879,-0.0370573222298879,-0.032844777523719,0.032844777523719,-0.0300441441327773,0.0300441441327773,0.0914605382313256,-0.0914605382313256,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0029984","R.Allen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"218",2019121512,"SF","ATL","SF","home","ATL","SF",80,2019-12-15,720,1620,3420,"Half1",0,2,0,1,"1",0,"12:00","SF 20",10,-5,"(12:00) T.Coleman left guard to SF 22 for 2 yards (T.McKinley; D.Jones).","run",2,0,0,0,0,0,0,NA,NA,NA,NA,"left","guard",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00310609602945459,0.178431524754459,0.00657314952762684,0.277181710669233,0.214579389745338,0.00356267981301613,0.316565449460873,0,0,0.378108827084891,-0.45462415026926,0.738483152527844,-0.738483152527844,0.729950447223634,-0.729950447223634,2.18326869526269,-2.18326869526269,NA,NA,0,0,1.28043972175462,-1.28043972175462,-1.05487882798966,1.05487882798966,-0.855909984951785,0.855909984951785,3.03917868021448,-3.03917868021448,0.49658171889781,0.50341828110219,0.49658171889781,0.50341828110219,-0.0121321771385052,0.484449541759305,0.515550458240695,0.0166724479336279,-0.0166724479336279,0.0614163940985483,-0.0614163940985483,NA,NA,0,0,0.0370573222298879,-0.0370573222298879,-0.032844777523719,0.032844777523719,-0.0300441441327773,0.0300441441327773,0.0914605382313256,-0.0914605382313256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"00-0032058","T.Coleman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0033540","T.McKinley","ATL","00-0032388","D.Jones","ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"239",2019121512,"SF","ATL","SF","home","ATL","SF",78,2019-12-15,686,1586,3386,"Half1",0,2,0,1,"2",0,"11:26","SF 22",8,-5,"(11:26) (Shotgun) J.Garoppolo sacked at SF 15 for -7 yards (V.Beasley).","pass",-7,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00351895095277293,0.195179375805021,0.00655093389379598,0.301676114512237,0.199537724056692,0.00390280080450117,0.28963409997498,0,0,-0.0765153231843692,-1.93558514216878,-1.19710198964094,1.19710198964094,0.729950447223634,-0.729950447223634,0.247683553093912,-0.247683553093912,NA,NA,0,0,1.28043972175462,-1.28043972175462,-1.05487882798966,1.05487882798966,-0.855909984951785,0.855909984951785,3.03917868021448,-3.03917868021448,0.484449541759305,0.515550458240695,0.484449541759305,0.515550458240695,-0.0566651284986898,0.427784413260615,0.572215586739385,0.0166724479336279,-0.0166724479336279,0.0047512655998585,-0.0047512655998585,NA,NA,0,0,0.0370573222298879,-0.0370573222298879,-0.032844777523719,0.032844777523719,-0.0300441441327773,0.0300441441327773,0.0914605382313256,-0.0914605382313256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0031345","J.Garoppolo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0032240","V.Beasley",NA,NA,"00-0032240","V.Beasley",NA,NA,NA,NA,NA,NA,NA,NA,"ATL",NA,"00-0032240",NA,"V.Beasley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
