"","play_id","game_id","home_team","away_team","posteam","posteam_type","defteam","side_of_field","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","time","yrdln","ydstogo","ydsnet","desc","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","no_score_prob","opp_fg_prob","opp_safety_prob","opp_td_prob","fg_prob","safety_prob","td_prob","extra_point_prob","two_point_conversion_prob","ep","epa","total_home_epa","total_away_epa","total_home_rush_epa","total_away_rush_epa","total_home_pass_epa","total_away_pass_epa","air_epa","yac_epa","comp_air_epa","comp_yac_epa","total_home_comp_air_epa","total_away_comp_air_epa","total_home_comp_yac_epa","total_away_comp_yac_epa","total_home_raw_air_epa","total_away_raw_air_epa","total_home_raw_yac_epa","total_away_raw_yac_epa","wp","def_wp","home_wp","away_wp","wpa","home_wp_post","away_wp_post","total_home_rush_wpa","total_away_rush_wpa","total_home_pass_wpa","total_away_pass_wpa","air_wpa","yac_wpa","comp_air_wpa","comp_yac_wpa","total_home_comp_air_wpa","total_away_comp_air_wpa","total_home_comp_yac_wpa","total_away_comp_yac_wpa","total_home_raw_air_wpa","total_away_raw_air_wpa","total_home_raw_yac_wpa","total_away_raw_yac_wpa","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_inside_twenty","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_inside_twenty","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_id","passer_player_name","receiver_player_id","receiver_player_name","rusher_player_id","rusher_player_name","lateral_receiver_player_id","lateral_receiver_player_name","lateral_rusher_player_id","lateral_rusher_player_name","lateral_sack_player_id","lateral_sack_player_name","interception_player_id","interception_player_name","lateral_interception_player_id","lateral_interception_player_name","punt_returner_player_id","punt_returner_player_name","lateral_punt_returner_player_id","lateral_punt_returner_player_name","kickoff_returner_player_name","kickoff_returner_player_id","lateral_kickoff_returner_player_id","lateral_kickoff_returner_player_name","punter_player_id","punter_player_name","kicker_player_name","kicker_player_id","own_kickoff_recovery_player_id","own_kickoff_recovery_player_name","blocked_player_id","blocked_player_name","tackle_for_loss_1_player_id","tackle_for_loss_1_player_name","tackle_for_loss_2_player_id","tackle_for_loss_2_player_name","qb_hit_1_player_id","qb_hit_1_player_name","qb_hit_2_player_id","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_id","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_id","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_id","solo_tackle_2_player_id","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_id","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_id","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_id","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_id","assist_tackle_4_player_name","assist_tackle_4_team","pass_defense_1_player_id","pass_defense_1_player_name","pass_defense_2_player_id","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_id","fumbled_1_player_name","fumbled_2_player_id","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_id","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_id","fumble_recovery_2_player_name","return_team","return_yards","penalty_team","penalty_player_id","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv","cp"
"1","37",2020010501,"PHI","SEA","SEA","away","PHI","PHI",35,2020-01-05,900,1800,3600,"Half1",0,1,0,1,NA,0,"15:00","PHI 35",0,6,"J.Elliott kicks 64 yards from PHI 35 to SEA 1. T.Lockett pushed ob at SEA 28 for 27 yards (N.Gerry).","kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.00137367959113161,0.162631509518862,0.00444072635822802,0.25417863378643,0.23308117414857,0.00365571302658065,0.340638563570199,0,0,0.814998475712213,0.290104814853511,-0.290104814853511,0.290104814853511,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T.Lockett","00-0032211",NA,NA,NA,NA,"J.Elliott","00-0033787",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",NA,"00-0033577",NA,"N.Gerry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA",27,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA
"2","76",2020010501,"PHI","SEA","SEA","away","PHI","SEA",72,2020-01-05,894,1794,3594,"Half1",0,1,0,1,"1",0,"14:54","SEA 28",10,6,"(14:54) (Shotgun) R.Wilson pass short right to DK.Metcalf to SEA 37 for 9 yards (J.Mills).","pass",9,1,0,1,0,0,0,"short","right",7,2,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00132569637175494,0.152448708247165,0.00347230865154809,0.238104802871382,0.244506475865504,0.00367716616700798,0.356464841825637,0,0,1.10510329056572,1.27834389439088,-1.56844870924439,1.56844870924439,0,0,-1.27834389439088,1.27834389439088,-0.0784947794586535,1.35683867384953,-0.0784947794586535,1.35683867384953,0.0784947794586535,-0.0784947794586535,-1.35683867384953,1.35683867384953,0.0784947794586535,-0.0784947794586535,-1.35683867384953,1.35683867384953,0.508903158607416,0.491096841392584,0.491096841392584,0.508903158607416,0.0406293820570148,0.450467459335569,0.549532540664431,0,0,-0.0406293820570148,0.0406293820570148,-0.00197787965551721,0.042607261712532,-0.00197787965551721,0.042607261712532,0.00197787965551721,-0.00197787965551721,-0.042607261712532,0.042607261712532,0.00197787965551721,-0.00197787965551721,-0.042607261712532,0.042607261712532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0029263","R.Wilson","00-0035640","DK.Metcalf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",NA,"00-0032803",NA,"J.Mills",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA
"3","100",2020010501,"PHI","SEA","SEA","away","PHI","SEA",63,2020-01-05,865,1765,3565,"Half1",0,1,0,1,"2",0,"14:25","SEA 37",1,6,"(14:25) T.Homer up the middle to SEA 35 for -2 yards (F.Cox). FUMBLES (F.Cox), and recovers at SEA 34. T.Homer to SEA 34 for no gain (N.Gerry).","run",-3,0,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00128422987581879,0.1166822461707,0.0013508019897521,0.174171330546932,0.242858334143549,0.00375031241333182,0.459902744859917,0,0,2.3834471849566,-1.86792696946074,0.299478260216356,-0.299478260216356,1.86792696946074,-1.86792696946074,-1.27834389439088,1.27834389439088,NA,NA,0,0,0.0784947794586535,-0.0784947794586535,-1.35683867384953,1.35683867384953,0.0784947794586535,-0.0784947794586535,-1.35683867384953,1.35683867384953,0.549532540664431,0.450467459335569,0.450467459335569,0.549532540664431,-0.0535547173563135,0.504022176691883,0.495977823308117,0.0535547173563135,-0.0535547173563135,-0.0406293820570148,0.0406293820570148,NA,NA,0,0,0.00197787965551721,-0.00197787965551721,-0.042607261712532,0.042607261712532,0.00197787965551721,-0.00197787965551721,-0.042607261712532,0.042607261712532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,"00-0035594","T.Homer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0033577","N.Gerry",NA,NA,NA,NA,NA,NA,"PHI","00-0029653","F.Cox",NA,NA,NA,"PHI","PHI","00-0029653","00-0033577","F.Cox","N.Gerry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA","00-0035594","T.Homer",NA,NA,NA,"SEA",0,"00-0035594","T.Homer",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA
"4","137",2020010501,"PHI","SEA","SEA","away","PHI","SEA",66,2020-01-05,819,1719,3519,"Half1",0,1,0,1,"3",0,"13:39","SEA 34",4,6,"(13:39) (Shotgun) R.Wilson pass incomplete short right to T.Lockett (C.LeBlanc).","pass",0,1,0,1,0,0,0,"short","right",5,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00168757287418864,0.176431079902602,0.00349458036829828,0.270817719598187,0.216253287761843,0.00408870532442547,0.327227054170456,0,0,0.515520215495857,-1.90976185397947,2.20924011419583,-2.20924011419583,1.86792696946074,-1.86792696946074,0.631417959588597,-0.631417959588597,2.13352034293942,-4.04328219691889,0,0,0.0784947794586535,-0.0784947794586535,-1.35683867384953,1.35683867384953,-2.05502556348076,2.05502556348076,2.68644352306936,-2.68644352306936,0.495977823308117,0.504022176691883,0.504022176691883,0.495977823308117,-0.0557115404400156,0.559733717131898,0.440266282868102,0.0535547173563135,-0.0535547173563135,0.0150821583830008,-0.0150821583830008,0.0649564162548326,-0.120667956694848,0,0,0.00197787965551721,-0.00197787965551721,-0.042607261712532,0.042607261712532,-0.0629785365993154,0.0629785365993154,0.0780606949823162,-0.0780606949823162,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0029263","R.Wilson","00-0032211","T.Lockett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0032581","C.LeBlanc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA
"5","159",2020010501,"PHI","SEA","SEA","away","PHI","SEA",66,2020-01-05,814,1714,3514,"Half1",0,1,0,1,"4",0,"13:34","SEA 34",4,6,"(13:34) M.Dickson punts 44 yards to PHI 22, Center-T.Ott, fair catch by G.Ward.","punt",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00194816570286139,0.249235323764558,0.00454796854491813,0.378152582831591,0.131299955737175,0.00559670828455275,0.229219295134343,0,0,-1.39424163848362,0.84489058189923,1.3643495322966,-1.3643495322966,1.86792696946074,-1.86792696946074,0.631417959588597,-0.631417959588597,NA,NA,0,0,0.0784947794586535,-0.0784947794586535,-1.35683867384953,1.35683867384953,-2.05502556348076,2.05502556348076,2.68644352306936,-2.68644352306936,0.440266282868102,0.559733717131898,0.559733717131898,0.440266282868102,0.0621134661713813,0.497620250960517,0.502379749039483,0.0535547173563135,-0.0535547173563135,0.0150821583830008,-0.0150821583830008,NA,NA,0,0,0.00197787965551721,-0.00197787965551721,-0.042607261712532,0.042607261712532,-0.0629785365993154,0.0629785365993154,0.0780606949823162,-0.0780606949823162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0033733","G.Ward",NA,NA,NA,NA,NA,NA,"00-0034160","M.Dickson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA
"6","178",2020010501,"PHI","SEA","PHI","home","SEA","PHI",78,2020-01-05,807,1707,3507,"Half1",0,2,0,1,"1",0,"13:27","PHI 22",10,2,"(13:27) (Shotgun) M.Sanders right guard to PHI 24 for 2 yards (K.Wright; B.Wagner).","run",2,1,0,0,0,0,0,NA,NA,NA,NA,"right","guard",NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00211239236295141,0.172231991866344,0.0056297597611651,0.268355210853649,0.221967749964216,0.0036060977106167,0.326096797481058,0,0,0.549351056584386,-0.449871792150592,0.914477740146008,-0.914477740146008,1.41805517731015,-1.41805517731015,0.631417959588597,-0.631417959588597,NA,NA,0,0,0.0784947794586535,-0.0784947794586535,-1.35683867384953,1.35683867384953,-2.05502556348076,2.05502556348076,2.68644352306936,-2.68644352306936,0.497620250960517,0.502379749039483,0.497620250960517,0.502379749039483,-0.0110110168043202,0.486609234156197,0.513390765843803,0.0425437005519933,-0.0425437005519933,0.0150821583830008,-0.0150821583830008,NA,NA,0,0,0.00197787965551721,-0.00197787965551721,-0.042607261712532,0.042607261712532,-0.0629785365993154,0.0629785365993154,0.0780606949823162,-0.0780606949823162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"00-0035243","M.Sanders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0028037","K.Wright","SEA","00-0029255","B.Wagner","SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA
"7","199",2020010501,"PHI","SEA","PHI","home","SEA","PHI",76,2020-01-05,765,1665,3465,"Half1",0,2,0,1,"2",0,"12:45","PHI 24",8,2,"(12:45) C.Wentz FUMBLES (Aborted) at PHI 14, and recovers at PHI 10. C.Wentz pass incomplete short right.","pass",0,0,0,1,0,0,0,"short","right",0,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00247843648921086,0.188524232625938,0.00575282406408933,0.292391474433246,0.208235022557779,0.00394664100179674,0.29867136882794,0,0,0.0994792644337947,-0.975238070617899,-0.0607603304718916,0.0607603304718916,1.41805517731015,-1.41805517731015,-0.343820111029302,0.343820111029302,-0.975329486484827,9.14158669274023e-05,0,0,0.0784947794586535,-0.0784947794586535,-1.35683867384953,1.35683867384953,-3.03035504996559,3.03035504996559,2.68653493893629,-2.68653493893629,0.486609234156197,0.513390765843803,0.486609234156197,0.513390765843803,-0.0282561990750683,0.458353035081129,0.541646964918872,0.0425437005519933,-0.0425437005519933,-0.0131740406920675,0.0131740406920675,-0.0282718049327254,1.56058576570861e-05,0,0,0.00197787965551721,-0.00197787965551721,-0.042607261712532,0.042607261712532,-0.0912503415320408,0.0912503415320408,0.0780763008399733,-0.0780763008399733,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"00-0032950","C.Wentz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI","00-0032950","C.Wentz",NA,NA,NA,"PHI",0,"00-0032950","C.Wentz",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA
"8","234",2020010501,"PHI","SEA","PHI","home","SEA","PHI",76,2020-01-05,759,1659,3459,"Half1",0,2,0,1,"3",0,"12:39","PHI 24",8,2,"(12:39) (Shotgun) C.Wentz pass incomplete deep left to G.Ward.","pass",0,1,0,1,0,0,0,"deep","left",16,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00247057349385941,0.226148219820831,0.00690300530798829,0.346588177486941,0.165257397786423,0.00431829395680489,0.248314332147153,0,0,-0.875758806184105,-1.47776912303412,-1.53852945350601,1.53852945350601,1.41805517731015,-1.41805517731015,-1.82158923406342,1.82158923406342,3.21346810711987,-4.69123723015399,0,0,0.0784947794586535,-0.0784947794586535,-1.35683867384953,1.35683867384953,0.183113057154282,-0.183113057154282,-2.0047022912177,2.0047022912177,0.458353035081129,0.541646964918872,0.458353035081129,0.541646964918872,-0.0446096804901836,0.413743354590945,0.586256645409055,0.0425437005519933,-0.0425437005519933,-0.0577837211822511,0.0577837211822511,0.0957272902077658,-0.140336970697949,0,0,0.00197787965551721,-0.00197787965551721,-0.042607261712532,0.042607261712532,0.00447694867572501,-0.00447694867572501,-0.0622606698579761,0.0622606698579761,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0032950","C.Wentz","00-0033733","G.Ward",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA
"9","256",2020010501,"PHI","SEA","PHI","home","SEA","PHI",76,2020-01-05,754,1654,3454,"Half1",0,2,0,1,"4",0,"12:34","PHI 24",8,2,"(12:34) C.Johnston punts 45 yards to SEA 31, Center-R.Lovato, fair catch by D.Moore. PENALTY on PHI-C.James, Unnecessary Roughness, 15 yards, enforced at SEA 31.","punt",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00253964680569123,0.291421400093206,0.00720681339811968,0.428698381893073,0.0825661121369395,0.00492665700249284,0.182640988670477,0,0,-2.35352792921822,-0.325331081116539,-1.86386053462255,1.86386053462255,1.41805517731015,-1.41805517731015,-1.82158923406342,1.82158923406342,NA,NA,0,0,0.0784947794586535,-0.0784947794586535,-1.35683867384953,1.35683867384953,0.183113057154282,-0.183113057154282,-2.0047022912177,2.0047022912177,0.413743354590945,0.586256645409055,0.413743354590945,0.586256645409055,0.0210976193524974,0.434840973943442,0.565159026056558,0.0425437005519933,-0.0425437005519933,-0.0577837211822511,0.0577837211822511,NA,NA,0,0,0.00197787965551721,-0.00197787965551721,-0.042607261712532,0.042607261712532,0.00447694867572501,-0.00447694867572501,-0.0622606698579761,0.0622606698579761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0033589","D.Moore",NA,NA,NA,NA,NA,NA,"00-0033729","C.Johnston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"PHI","00-0034310","C.James",15,0,NA,"Unnecessary Roughness",0,0,0,0,NA
"10","286",2020010501,"PHI","SEA","SEA","away","PHI","SEA",54,2020-01-05,747,1647,3447,"Half1",0,3,0,1,"1",0,"12:27","SEA 46",10,37,"(12:27) T.Homer up the middle to SEA 48 for 2 yards (M.Jenkins).","run",2,0,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.00156964085026292,0.0965732819624385,0.000739807857068763,0.149601630970944,0.30639225994564,0.00355410799992365,0.441569270413722,0,0,2.67885901033476,-0.36766047782045,-1.4962000568021,1.4962000568021,1.7857156551306,-1.7857156551306,-1.82158923406342,1.82158923406342,NA,NA,0,0,0.0784947794586535,-0.0784947794586535,-1.35683867384953,1.35683867384953,0.183113057154282,-0.183113057154282,-2.0047022912177,2.0047022912177,0.565159026056558,0.434840973943442,0.434840973943442,0.565159026056558,-0.0104807816025884,0.445321755546031,0.554678244453969,0.0530244821545817,-0.0530244821545817,-0.0577837211822511,0.0577837211822511,NA,NA,0,0,0.00197787965551721,-0.00197787965551721,-0.042607261712532,0.042607261712532,0.00447694867572501,-0.00447694867572501,-0.0622606698579761,0.0622606698579761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"00-0035594","T.Homer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",NA,"00-0026990",NA,"M.Jenkins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA
