"type","game_id","home_team","away_team","week","season","state_of_game","game_url","home_score","away_score"
"post",2020010401,"NE","TEN",18,2019,"POST","http://www.nfl.com/liveupdate/game-center/2020010401/2020010401_gtd.json",13,14
"post",2020010400,"HOU","BUF",18,2019,"POST","http://www.nfl.com/liveupdate/game-center/2020010400/2020010400_gtd.json",22,19
"post",2020010500,"NO","MIN",18,2019,"POST","http://www.nfl.com/liveupdate/game-center/2020010500/2020010500_gtd.json",20,26
"post",2020010501,"PHI","SEA",18,2019,"POST","http://www.nfl.com/liveupdate/game-center/2020010501/2020010501_gtd.json",9,17
"post",2020011100,"SF","NFC",18,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2020011100/2020011100_gtd.json",NA,NA
"post",2020011101,"BAL","AFC",18,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2020011101/2020011101_gtd.json",NA,NA
"post",2020011200,"KC","AFC",18,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2020011200/2020011200_gtd.json",NA,NA
"post",2020011201,"GB","NFC",18,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2020011201/2020011201_gtd.json",NA,NA
"post",2020011900,"AFC","AFC",18,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2020011900/2020011900_gtd.json",NA,NA
"post",2020011901,"NFC","NFC",18,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2020011901/2020011901_gtd.json",NA,NA
"post",2020012600,"APR","NPR",18,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2020012600/2020012600_gtd.json",NA,NA
"post",2020020200,"AFC","NFC",18,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2020020200/2020020200_gtd.json",NA,NA
