"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Zane Gonzalez","Z.Gonzalez","ARI","K","00-0033862"
2019,"reg","Christian Kirk","C.Kirk","ARI","WR","00-0034775"
2019,"reg","Pharoh Cooper","P.Cooper","ARI","WR","00-0033111"
2019,"reg","Andy Lee","A.Lee","ARI","P","00-0022824"
2019,"reg","Ryan Winslow","R.Winslow","ARI","P","00-0034606"
2019,"reg","Andy Isabella","A.Isabella","ARI","WR","00-0035527"
2019,"reg","Damiere Byrd","D.Byrd","ARI","WR","00-0031868"
2019,"reg","David Johnson","D.Johnson","ARI","RB","00-0032187"
2019,"reg","Trent Sherfield","T.Sherfield","ARI","WR","00-0034487"
2019,"reg","Andre Chachere","A.Chachere","ARI","DB","00-0034623"
2019,"reg","Budda Baker","B.Baker","ARI","SS","00-0033890"
2019,"reg","Byron Murphy","B.Murphy","ARI","CB","00-0035236"
2019,"reg","Charles Washington","C.Washington","ARI","DB","00-0032560"
2019,"reg","Chris Banjo","C.Banjo","ARI","DB","00-0029747"
2019,"reg","Chris Jones","C.Jones","ARI","DB","00-0034641"
2019,"reg","Deionte Thompson","D.Thompson","ARI","SAF","00-0035532"
2019,"reg","Jalen Davis","J.Davis","ARI","CB","00-0034446"
2019,"reg","Jalen Thompson","J.Thompson","ARI","SS","00-0035705"
2019,"reg","Kevin Peterson","K.Peterson","ARI","CB","00-0032848"
2019,"reg","Patrick Peterson","P.Peterson","ARI","CB","00-0027943"
2019,"reg","Trevor Williams","T.Williams","ARI","CB","00-0032916"
2019,"reg","Brooks Reed","B.Reed","ARI","LB","00-0027980"
2019,"reg","Cassius Marsh","C.Marsh","ARI","LB","00-0031175"
2019,"reg","Chandler Jones","C.Jones","ARI","LB","00-0029585"
2019,"reg","Dennis Gardeck","D.Gardeck","ARI","LB","00-0034473"
2019,"reg","Haason Reddick","H.Reddick","ARI","OLB","00-0033875"
2019,"reg","Joe Walker","J.Walker","ARI","LB","00-0032809"
2019,"reg","Jordan Hicks","J.Hicks","ARI","MLB","00-0032129"
2019,"reg","Keishawn Bierria","K.Bierria","ARI","LB","00-0034422"
2019,"reg","Kylie Fitts","K.Fitts","ARI","LB","00-0034404"
2019,"reg","Tanner Vallejo","T.Vallejo","ARI","LB","00-0033580"
2019,"reg","Vontarrius Dora","V.Dora","ARI","LB","00-0032484"
2019,"reg","Zeke Turner","Z.Turner","ARI","LB","00-0034490"
2019,"reg","Caraun Reid","C.Reid","ARI","DT","00-0031071"
2019,"reg","Clinton McDonald","C.McDonald","ARI","DT","00-0026964"
2019,"reg","Corey Peters","C.Peters","ARI","DT","00-0027686"
2019,"reg","Jonathan Bullard","J.Bullard","ARI","DE","00-0033093"
