full_name,mascot,city,thescore_abbrev,nflscrapr_abbrev,division,logo,wiki_logo,primary,secondary,tertiary,quaternary
San Francisco 49ers,49ers,San Francisco,SF,SF,NFC West,http://content.sportslogos.net/logos/7/179/full/9455_san_francisco_49ers-primary-2009.png,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png,#aa0000,#b3995d,#000000,#a5acaf
Chicago Bears,Bears,Chicago,CHI,CHI,NFC North,http://content.sportslogos.net/logos/7/169/full/364.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png,#0b162a,#c83803,#0b162a,#c83803
Cincinnati Bengals,Bengals,Cincinnati,CIN,CIN,AFC North,http://content.sportslogos.net/logos/7/154/full/403.png,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,#000000,#fb4f14,#000000,#d32f1e
Buffalo Bills,Bills,Buffalo,BUF,BUF,AFC East,http://content.sportslogos.net/logos/7/149/full/n0fd1z6xmhigb0eej3323ebwq.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,#00338d,#c60c30,#0c2e82,#d50a0a
Denver Broncos,Broncos,Denver,DEN,DEN,AFC West,http://content.sportslogos.net/logos/7/161/full/9ebzja2zfeigaziee8y605aqp.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,#002244,#fb4f14,#00234c,#ff5200
Cleveland Browns,Browns,Cleveland,CLE,CLE,AFC North,http://content.sportslogos.net/logos/7/155/full/7855_cleveland_browns-primary-2015.png,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png,#fb4f14,#22150c,#a5acaf,#d32f1e
Tampa Bay Buccaneers,Buccaneers,Tampa Bay,TB,TB,NFC South,http://content.sportslogos.net/logos/7/176/full/3670_tampa_bay_buccaneers-primary-2014.png,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png,#d50a0a,#34302b,#000000,#ff7900
Arizona Cardinals,Cardinals,Arizona,ARI,ARI,NFC West,http://content.sportslogos.net/logos/7/177/full/kwth8f1cfa2sch5xhjjfaof90.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,#97233f,#000000,#ffb612,#a5acaf
Los Angeles Chargers,Chargers,Los Angeles C,LAC,LAC,AFC West,http://content.sportslogos.net/logos/7/6446/full/2415_los_angeles__chargers-primary-2017.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,#002244,#0073cf,#ffb612,#001532
Kansas City Chiefs,Chiefs,Kansas City,KC,KC,AFC West,http://content.sportslogos.net/logos/7/162/full/857.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png,#e31837,#ffb612,#000000,#e31837
Indianapolis Colts,Colts,Indianapolis,IND,IND,AFC South,http://content.sportslogos.net/logos/7/158/full/593.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,#002c5f,#a5acaf,#013369,#9ba1a2
Dallas Cowboys,Cowboys,Dallas,DAL,DAL,NFC East,http://content.sportslogos.net/logos/7/165/full/406.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png,#002244,#b0b7bc,#acc0c6,#a5acaf
Miami Dolphins,Dolphins,Miami,MIA,MIA,AFC East,http://content.sportslogos.net/logos/7/150/full/7306_miami_dolphins-primary-2018.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,#008e97,#f58220,#005778,#008e97
Philadelphia Eagles,Eagles,Philadelphia,PHI,PHI,NFC East,http://content.sportslogos.net/logos/7/167/full/960.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,#004953,#a5acaf,#acc0c6,#000000
Atlanta Falcons,Falcons,Atlanta,ATL,ATL,NFC South,http://content.sportslogos.net/logos/7/173/full/299.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,#a71930,#000000,#a5acaf,#a30d2d
New York Giants,Giants,New York,NYG,NYG,NFC East,http://content.sportslogos.net/logos/7/166/full/919.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png,#0b2265,#a71930,#a5acaf,#012352
Jacksonville Jaguars,Jaguars,Jacksonville,JAG,JAX,AFC South,http://content.sportslogos.net/logos/7/159/full/8856_jacksonville_jaguars-alternate-2013.png,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png,#000000,#006778,#9f792c,#d7a22a
New York Jets,Jets,New York,NYJ,NYJ,AFC East,http://content.sportslogos.net/logos/7/152/full/9116_new_york_jets-primary-2019.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,#203731,#1c2d25,NA,NA
