"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Alfred Morris","A.Morris","ARI","RB","00-0029141"
2019,"reg","Andy Isabella","A.Isabella","ARI","WR","00-0035527"
2019,"reg","Brett Hundley","B.Hundley","ARI","QB","00-0031589"
2019,"reg","Charles Clay","C.Clay","ARI","TE","00-0028112"
2019,"reg","Chase Edmonds","C.Edmonds","ARI","RB","00-0034681"
2019,"reg","Christian Kirk","C.Kirk","ARI","WR","00-0034775"
2019,"reg","Damiere Byrd","D.Byrd","ARI","WR","00-0031868"
2019,"reg","Dan Arnold","D.Arnold","ARI","TE","00-0034011"
2019,"reg","Darrell Daniels","D.Daniels","ARI","TE","00-0033258"
2019,"reg","David Johnson","D.Johnson","ARI","RB","00-0032187"
2019,"reg","KeeSean Johnson","K.Johnson","ARI","WR","00-0035287"
2019,"reg","Kenyan Drake","K.Drake","ARI","RB","00-0033118"
2019,"reg","Kyler Murray","K.Murray","ARI","QB","00-0035228"
2019,"reg","Larry Fitzgerald","L.Fitzgerald","ARI","WR","00-0022921"
2019,"reg","Maxx Williams","M.Williams","ARI","TE","00-0031558"
2019,"reg","Michael Crabtree","M.Crabtree","ARI","WR","00-0026986"
2019,"reg","Pharoh Cooper","P.Cooper","ARI","WR","00-0033111"
2019,"reg","Trent Sherfield","T.Sherfield","ARI","WR","00-0034487"
