"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Matt Bryant","M.Bryant","ATL","K","00-0020578"
2019,"reg","Younghoe Koo","Y.Koo","ATL","K","00-0033702"
2019,"reg","Kenjon Barner","K.Barner","ATL","RB","00-0030465"
2019,"reg","Russell Gage","R.Gage","ATL","WR","00-0034411"
2019,"reg","Kasey Redfern","K.Redfern","ATL","P","00-0031420"
2019,"reg","Matt Bosher","M.Bosher","ATL","P","00-0028130"
2019,"reg","Ryan Allen","R.Allen","ATL","P","00-0029984"
2019,"reg","Ito Smith","I.Smith","ATL","RB","00-0034378"
2019,"reg","Kendall Sheffield","K.Sheffield","ATL","DB","00-0035255"
2019,"reg","Blidi Wreh-Wilson","B.Wreh-Wilson","ATL","DB","00-0030541"
2019,"reg","Chris Cooper","C.Cooper","ATL","DB","00-0034085"
2019,"reg","Damontae Kazee","D.Kazee","ATL","SS","00-0033512"
2019,"reg","Desmond Trufant","D.Trufant","ATL","CB","00-0030562"
2019,"reg","Isaiah Oliver","I.Oliver","ATL","CB","00-0034357"
2019,"reg","Jamal Carter","J.Carter","ATL","DB","00-0033819"
2019,"reg","Jamar Taylor","J.Taylor","ATL","CB","00-0030484"
2019,"reg","Johnathan Cyprien","J.Cyprien","ATL","DB","00-0030538"
2019,"reg","Jordan Miller","J.Miller","ATL","DB","00-0035285"
2019,"reg","Keanu Neal","K.Neal","ATL","SS","00-0032382"
2019,"reg","Kemal Ishmael","K.Ishmael","ATL","DB","00-0030427"
2019,"reg","Ricardo Allen","R.Allen","ATL","FS","00-0031181"
2019,"reg","Sharrod Neasman","S.Neasman","ATL","DB","00-0032592"
2019,"reg","Ahmad Thomas","A.Thomas","ATL","LB","00-0033447"
2019,"reg","De'Vondre Campbell","D.Campbell","ATL","OLB","00-0032401"
2019,"reg","Deion Jones","D.Jones","ATL","LB","00-0032388"
2019,"reg","Foye Oluokun","F.Oluokun","ATL","LB","00-0034413"
2019,"reg","Adrian Clayborn","A.Clayborn","ATL","DE","00-0027958"
2019,"reg","Allen Bailey","A.Bailey","ATL","DE","00-0028024"
2019,"reg","Austin Larkin","A.Larkin","ATL","DE","00-0034559"
2019,"reg","Deadrin Senat","D.Senat","ATL","DT","00-0034363"
2019,"reg","Grady Jarrett","G.Jarrett","ATL","DT","00-0031583"
2019,"reg","Jack Crawford","J.Crawford","ATL","DT","00-0029627"
2019,"reg","Jacob Tuioti-Mariner","J.Tuioti-Mariner","ATL","DT","00-0034154"
2019,"reg","John Cominsky","J.Cominsky","ATL","DE","00-0035265"
2019,"reg","Takkarist McKinley","T.McKinley","ATL","DE","00-0033540"
2019,"reg","Tyeler Davison","T.Davison","ATL","DT","00-0031947"
2019,"reg","Vic Beasley","V.Beasley","ATL","DE","00-0032240"
2019,"reg","Austin Hooper","A.Hooper","ATL","TE","00-0032392"
2019,"reg","Jaeden Graham","J.Graham","ATL","TE","00-0034788"
2019,"reg","Luke Stocker","L.Stocker","ATL","TE","00-0028042"
2019,"reg","Calvin Ridley","C.Ridley","ATL","WR","00-0034837"
2019,"reg","Christian Blake","C.Blake","ATL","WR","00-0034132"
2019,"reg","Julio Jones","J.Jones","ATL","WR","00-0027944"
2019,"reg","Justin Hardy","J.Hardy","ATL","WR","00-0031570"
2019,"reg","Olamide Zaccheaus","O.Zaccheaus","ATL","WR","00-0035208"
2019,"reg","Brian Hill","B.Hill","ATL","RB","00-0033567"
2019,"reg","Devonta Freeman","D.Freeman","ATL","RB","00-0031285"
2019,"reg","Keith Smith","K.Smith","ATL","RB","00-0030968"
2019,"reg","Qadree Ollison","Q.Ollison","ATL","RB","00-0035273"
2019,"reg","Matt Ryan","M.Ryan","ATL","QB","00-0026143"
2019,"reg","Matt Schaub","M.Schaub","ATL","QB","00-0022787"
