"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Andre Roberts","A.Roberts","BUF","WR","00-0027691"
2019,"reg","Cole Beasley","C.Beasley","BUF","WR","00-0029000"
2019,"reg","Corey Bojorquez","C.Bojorquez","BUF","P","00-0034721"
2019,"reg","Corey Liuget","C.Liuget","BUF","DT","00-0027956"
2019,"reg","Corey Thompson","C.Thompson","BUF","LB","00-0034539"
2019,"reg","Darryl Johnson","D.Johnson","BUF","DE","00-0035306"
2019,"reg","Dawson Knox","D.Knox","BUF","TE","00-0035689"
2019,"reg","Dean Marlowe","D.Marlowe","BUF","SS","00-0031870"
2019,"reg","Devin Singletary","D.Singletary","BUF","RB","00-0035250"
2019,"reg","Duke Williams","D.Williams","BUF","WR","00-0032945"
2019,"reg","Ed Oliver","E.Oliver","BUF","DT","00-0035230"
2019,"reg","Frank Gore","F.Gore","BUF","RB","00-0023500"
2019,"reg","Harrison Phillips","H.Phillips","BUF","DT","00-0034782"
2019,"reg","Isaiah McKenzie","I.McKenzie","BUF","WR","00-0033466"
2019,"reg","Jaquan Johnson","J.Johnson","BUF","DB","00-0035290"
2019,"reg","Jerry Hughes","J.Hughes","BUF","DE","00-0027881"
2019,"reg","John Brown","J.Brown","BUF","WR","00-0031051"
2019,"reg","Jordan Phillips","J.Phillips","BUF","DT","00-0031557"
2019,"reg","Jordan Poyer","J.Poyer","BUF","FS","00-0030114"
2019,"reg","Josh Allen","J.Allen","BUF","QB","00-0034857"
2019,"reg","Julian Stanford","J.Stanford","BUF","LB","00-0029061"
2019,"reg","Kevin Johnson","K.Johnson","BUF","CB","00-0031548"
2019,"reg","Kurt Coleman","K.Coleman","BUF","SS","00-0027835"
2019,"reg","Lee Smith","L.Smith","BUF","TE","00-0028097"
2019,"reg","Levi Wallace","L.Wallace","BUF","CB","00-0034514"
2019,"reg","Lorenzo Alexander","L.Alexander","BUF","OLB","00-0023259"
2019,"reg","Matt Barkley","M.Barkley","BUF","QB","00-0030533"
2019,"reg","Matt Milano","M.Milano","BUF","OLB","00-0033571"
2019,"reg","Maurice Alexander","M.Alexander","BUF","LB","00-0031393"
2019,"reg","Micah Hyde","M.Hyde","BUF","SS","00-0030090"
2019,"reg","Patrick DiMarco","P.DiMarco","BUF","RB","00-0028581"
2019,"reg","Robert Foster","R.Foster","BUF","WR","00-0034510"
2019,"reg","Senorise Perry","S.Perry","BUF","RB","00-0031209"
2019,"reg","Shaq Lawson","S.Lawson","BUF","DE","00-0033096"
2019,"reg","Siran Neal","S.Neal","BUF","DB","00-0034391"
2019,"reg","Star Lotulelei","S.Lotulelei","BUF","DT","00-0030455"
2019,"reg","Stephen Hauschka","S.Hauschka","BUF","K","00-0025944"
2019,"reg","T.J. Yeldon","T.Yeldon","BUF","RB","00-0032209"
2019,"reg","Taron Johnson","T.Johnson","BUF","CB","00-0034376"
2019,"reg","Tommy Sweeney","T.Sweeney","BUF","TE","00-0035308"
2019,"reg","Tre'Davious White","T.White","BUF","CB","00-0033884"
2019,"reg","Tremaine Edmunds","T.Edmunds","BUF","MLB","00-0034673"
2019,"reg","Trent Murphy","T.Murphy","BUF","DE","00-0031300"
2019,"reg","Tyler Kroft","T.Kroft","BUF","TE","00-0032214"
2019,"reg","Vincent Taylor","V.Taylor","BUF","DT","00-0033469"
