"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Joey Slye","J.Slye","CAR","K","00-0035192"
2019,"reg","Brandon Zylstra","B.Zylstra","CAR","WR","00-0034052"
2019,"reg","Chris Hogan","C.Hogan","CAR","WR","00-0028237"
2019,"reg","D.J. Moore","D.Moore","CAR","WR","00-0034827"
2019,"reg","Michael Palardy","M.Palardy","CAR","P","00-0031363"
2019,"reg","DeAndrew White","D.White","CAR","WR","00-0031511"
2019,"reg","Reggie Bonnafon","R.Bonnafon","CAR","RB","00-0034578"
2019,"reg","Cole Luke","C.Luke","CAR","CB","00-0033410"
2019,"reg","Colin Jones","C.Jones","CAR","SS","00-0028128"
2019,"reg","Corn Elder","C.Elder","CAR","CB","00-0033289"
2019,"reg","Donte Jackson","D.Jackson","CAR","CB","00-0034356"
2019,"reg","Eric Reid","E.Reid","CAR","SS","00-0030548"
2019,"reg","James Bradberry","J.Bradberry","CAR","CB","00-0032890"
2019,"reg","Javien Elliott","J.Elliott","CAR","CB","00-0033070"
2019,"reg","Natrell Jamerson","N.Jamerson","CAR","DB","00-0034398"
2019,"reg","Ross Cockrell","R.Cockrell","CAR","DB","00-0031016"
2019,"reg","T.J. Green","T.Green","CAR","DB","00-0033059"
2019,"reg","Tre Boston","T.Boston","CAR","FS","00-0031261"
2019,"reg","Andre Smith","A.Smith","CAR","LB","00-0034430"
2019,"reg","Brian Burns","B.Burns","CAR","LB","00-0035713"
2019,"reg","Bruce Irvin","B.Irvin","CAR","LB","00-0029193"
2019,"reg","Christian Miller","C.Miller","CAR","LB","00-0035257"
2019,"reg","Jermaine Carter","J.Carter","CAR","LB","00-0034396"
2019,"reg","Jordan Kunaszyk","J.Kunaszyk","CAR","ILB","00-0035444"
2019,"reg","Luke Kuechly","L.Kuechly","CAR","MLB","00-0029248"
2019,"reg","Mario Addison","M.Addison","CAR","LB","00-0028339"
2019,"reg","Ramik Wilson","R.Wilson","CAR","ILB","00-0031943"
2019,"reg","Shaq Thompson","S.Thompson","CAR","OLB","00-0031550"
2019,"reg","Dontari Poe","D.Poe","CAR","DT","00-0029688"
2019,"reg","Efe Obada","E.Obada","CAR","DE","00-0031500"
2019,"reg","Gerald McCoy","G.McCoy","CAR","DT","00-0027856"
2019,"reg","Kawann Short","K.Short","CAR","DT","00-0030448"
2019,"reg","Kyle Love","K.Love","CAR","DT","00-0027236"
2019,"reg","Marquis Haynes","M.Haynes","CAR","DE","00-0034382"
2019,"reg","Stacy McGee","S.McGee","CAR","DT","00-0030515"
2019,"reg","Vernon Butler","V.Butler","CAR","DT","00-0032967"
2019,"reg","Wes Horton","W.Horton","CAR","DE","00-0030251"
2019,"reg","Woodrow Hamilton","W.Hamilton","CAR","DT","00-0032578"
2019,"reg","Chris Manhertz","C.Manhertz","CAR","TE","00-0031484"
2019,"reg","Greg Olsen","G.Olsen","CAR","TE","00-0025418"
2019,"reg","Ian Thomas","I.Thomas","CAR","TE","00-0034365"
2019,"reg","Curtis Samuel","C.Samuel","CAR","WR","00-0033282"
2019,"reg","Jarius Wright","J.Wright","CAR","WR","00-0029572"
2019,"reg","Alex Armah","A.Armah","CAR","FB","00-0033296"
2019,"reg","Christian McCaffrey","C.McCaffrey","CAR","RB","00-0033280"
2019,"reg","Jordan Scarlett","J.Scarlett","CAR","RB","00-0035275"
2019,"reg","Mike Davis","M.Davis","CAR","RB","00-0032063"
2019,"reg","Cam Newton","C.Newton","CAR","QB","00-0027939"
2019,"reg","Kyle Allen","K.Allen","CAR","QB","00-0034577"
2019,"reg","Will Grier","W.Grier","CAR","QB","00-0035251"
