"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Aaron Lynch","A.Lynch","CHI","OLB","00-0030993"
2019,"reg","Abdullah Anderson","A.Anderson","CHI","DT","00-0034587"
2019,"reg","Adam Shaheen","A.Shaheen","CHI","TE","00-0033896"
2019,"reg","Akiem Hicks","A.Hicks","CHI","DT","00-0029657"
2019,"reg","Allen Robinson","A.Robinson","CHI","WR","00-0031428"
2019,"reg","Anthony Miller","A.Miller","CHI","WR","00-0034353"
2019,"reg","Ben Braunecker","B.Braunecker","CHI","TE","00-0032661"
2019,"reg","Bilal Nichols","B.Nichols","CHI","DT","00-0034387"
2019,"reg","Brent Urban","B.Urban","CHI","DE","00-0031177"
2019,"reg","Buster Skrine","B.Skrine","CHI","CB","00-0028075"
2019,"reg","Chase Daniel","C.Daniel","CHI","QB","00-0026544"
2019,"reg","Cordarrelle Patterson","C.Patterson","CHI","WR","00-0030578"
2019,"reg","Danny Trevathan","D.Trevathan","CHI","ILB","00-0029577"
2019,"reg","David Montgomery","D.Montgomery","CHI","RB","00-0035685"
2019,"reg","DeAndre Houston-Carson","D.Houston-Carson","CHI","DB","00-0032790"
2019,"reg","Deon Bush","D.Bush","CHI","DB","00-0032774"
2019,"reg","Devante Bond","D.Bond","CHI","LB","00-0032789"
2019,"reg","Duke Shelley","D.Shelley","CHI","CB","00-0035696"
2019,"reg","Eddie Goldman","E.Goldman","CHI","NT","00-0031551"
2019,"reg","Eddie Jackson","E.Jackson","CHI","FS","00-0033784"
2019,"reg","Eddy Pineiro","E.Pineiro","CHI","K","00-0034173"
2019,"reg","Eric Saubert","E.Saubert","CHI","TE","00-0033576"
2019,"reg","Ha Ha Clinton-Dix","H.Clinton-Dix","CHI","SS","00-0031333"
2019,"reg","Isaiah Irving","I.Irving","CHI","LB","00-0033635"
2019,"reg","J.P. Holtz","J.Holtz","CHI","TE","00-0032986"
2019,"reg","James Vaughters","J.Vaughters","CHI","LB","00-0031838"
2019,"reg","Javon Wims","J.Wims","CHI","WR","00-0034426"
2019,"reg","Jesper Horsted","J.Horsted","CHI","TE","00-0035562"
2019,"reg","Joel Iyiegbuniwe","J.Iyiegbuniwe","CHI","LB","00-0034372"
2019,"reg","Josh Woods","J.Woods","CHI","LB","00-0034801"
2019,"reg","Kevin Pierre-Louis","K.Pierre-Louis","CHI","LB","00-0031308"
2019,"reg","Kevin Toliver","K.Toliver","CHI","DB","00-0034603"
2019,"reg","Khalil Mack","K.Mack","CHI","OLB","00-0031040"
2019,"reg","Kyle Fuller","K.Fuller","CHI","CB","00-0031041"
2019,"reg","Leonard Floyd","L.Floyd","CHI","OLB","00-0033072"
2019,"reg","Michael Joseph","M.Joseph","CHI","CB","00-0034607"
2019,"reg","Mitchell Trubisky","M.Trubisky","CHI","QB","00-0033869"
2019,"reg","Nick Kwiatkoski","N.Kwiatkoski","CHI","ILB","00-0032773"
2019,"reg","Nick Williams","N.Williams","CHI","DT","00-0030500"
2019,"reg","Pat O'Donnell","P.O'Donnell","CHI","P","00-0031079"
2019,"reg","Prince Amukamara","P.Amukamara","CHI","CB","00-0027957"
2019,"reg","Riley Ridley","R.Ridley","CHI","WR","00-0035590"
2019,"reg","Roquan Smith","R.Smith","CHI","ILB","00-0034874"
2019,"reg","Roy Robertson-Harris","R.Robertson-Harris","CHI","DE","00-0032667"
2019,"reg","Ryan Nall","R.Nall","CHI","RB","00-0034597"
2019,"reg","Sherrick McManis","S.McManis","CHI","DB","00-0027743"
2019,"reg","Tarik Cohen","T.Cohen","CHI","RB","00-0033556"
2019,"reg","Taylor Gabriel","T.Gabriel","CHI","WR","00-0031228"
2019,"reg","Trey Burton","T.Burton","CHI","TE","00-0030710"
