"","X","season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
"1",1,2019,"reg","Adarius Taylor","A.Taylor","CLE","OLB","00-0031120"
"2",2,2019,"reg","Antonio Callaway","A.Callaway","CLE","WR","00-0034772"
"3",3,2019,"reg","Austin Seibert","A.Seibert","CLE","K","00-0035145"
"4",4,2019,"reg","Baker Mayfield","B.Mayfield","CLE","QB","00-0034855"
"5",5,2019,"reg","Brandin Bryant","B.Bryant","CLE","DT","00-0032660"
"6",6,2019,"reg","Bryan Cox","B.Cox","CLE","DE","00-0033408"
"7",7,2019,"reg","Chad Thomas","C.Thomas","CLE","DE","00-0034770"
"8",8,2019,"reg","Chris Smith","C.Smith","CLE","DE","00-0031264"
"9",9,2019,"reg","Christian Kirksey","C.Kirksey","CLE","OLB","00-0031361"
"10",10,2019,"reg","D'Ernest Johnson","D.Johnson","CLE","RB","00-0035628"
"11",11,2019,"reg","Damarious Randall","D.Randall","CLE","FS","00-0032251"
"12",12,2019,"reg","Damion Ratley","D.Ratley","CLE","WR","00-0034273"
"13",13,2019,"reg","Daniel Ekuale","D.Ekuale","CLE","DT","00-0034251"
"14",14,2019,"reg","David Njoku","D.Njoku","CLE","TE","00-0033885"
"15",15,2019,"reg","Demetrius Harris","D.Harris","CLE","TE","00-0030155"
"16",16,2019,"reg","Denzel Ward","D.Ward","CLE","CB","00-0034856"
"17",17,2019,"reg","Dontrell Hilliard","D.Hilliard","CLE","RB","00-0034253"
"18",18,2019,"reg","Eli Ankou","E.Ankou","CLE","DT","00-0033598"
"19",19,2019,"reg","Eric Murray","E.Murray","CLE","SS","00-0033038"
"20",20,2019,"reg","Garrett Gilbert","G.Gilbert","CLE","QB","00-0031395"
"21",21,2019,"reg","Greedy Williams","G.Williams","CLE","CB","00-0035638"
"22",22,2019,"reg","J.T. Hassell","J.Hassell","CLE","DB","00-0035044"
"23",23,2019,"reg","Jamie Gillan","J.Gillan","CLE","P","00-0035042"
"24",24,2019,"reg","Jarvis Landry","J.Landry","CLE","WR","00-0031382"
"25",25,2019,"reg","Jermaine Whitehead","J.Whitehead","CLE","DB","00-0031512"
"26",26,2019,"reg","Joe Schobert","J.Schobert","CLE","MLB","00-0033125"
"27",27,2019,"reg","Justin Zimmer","J.Zimmer","CLE","DT","00-0032518"
"28",28,2019,"reg","Juston Burris","J.Burris","CLE","CB","00-0032403"
"29",29,2019,"reg","Kareem Hunt","K.Hunt","CLE","RB","00-0033923"
"30",30,2019,"reg","KhaDarel Hodge","K.Hodge","CLE","WR","00-0034854"
"31",31,2019,"reg","Larry Ogunjobi","L.Ogunjobi","CLE","DT","00-0033905"
"32",32,2019,"reg","Mack Wilson","M.Wilson","CLE","LB","00-0035144"
"33",33,2019,"reg","Morgan Burnett","M.Burnett","CLE","SS","00-0027676"
"34",34,2019,"reg","Myles Garrett","M.Garrett","CLE","DE","00-0033868"
"35",35,2019,"reg","Nick Chubb","N.Chubb","CLE","RB","00-0034791"
"36",36,2019,"reg","Odell Beckham","O.Beckham","CLE","WR","00-0031235"
"37",37,2019,"reg","Olivier Vernon","O.Vernon","CLE","DE","00-0029693"
"38",38,2019,"reg","Pharaoh Brown","P.Brown","CLE","TE","00-0033439"
"39",39,2019,"reg","Porter Gustin","P.Gustin","CLE","LB","00-0035404"
"40",40,2019,"reg","Rashard Higgins","R.Higgins","CLE","WR","00-0032977"
"41",41,2019,"reg","Ricky Seals-Jones","R.Seals-Jones","CLE","TE","00-0033611"
"42",42,2019,"reg","Robert Jackson","R.Jackson","CLE","DB","00-0034088"
"43",43,2019,"reg","Robert McCray","R.McCray","CLE","DE","00-0034326"
"44",44,2019,"reg","Sheldon Richardson","S.Richardson","CLE","DT","00-0030573"
"45",45,2019,"reg","Sheldrick Redwine","S.Redwine","CLE","SS","00-0034977"
"46",46,2019,"reg","Sione Takitaki","S.Takitaki","CLE","LB","00-0035646"
"47",47,2019,"reg","Stephen Carlson","S.Carlson","CLE","TE","00-0035039"
"48",48,2019,"reg","T.J. Carrie","T.Carrie","CLE","DB","00-0031269"
"49",49,2019,"reg","Tae Davis","T.Davis","CLE","LB","00-0034500"
"50",50,2019,"reg","Tavierre Thomas","T.Thomas","CLE","CB","00-0034488"
"51",51,2019,"reg","Taywan Taylor","T.Taylor","CLE","WR","00-0033911"
"52",52,2019,"reg","Terrance Mitchell","T.Mitchell","CLE","CB","00-0031097"
"53",53,2019,"reg","Willie Harvey","W.Harvey","CLE","LB","00-0035177"
