"","X","season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
"1",1,2019,"reg","Brett Maher","B.Maher","DAL","K","00-0030332"
"2",2,2019,"reg","Kai Forbath","K.Forbath","DAL","K","00-0028787"
"3",3,2019,"reg","Ced Wilson","C.Wilson","DAL","WR","00-0034418"
"4",4,2019,"reg","Randall Cobb","R.Cobb","DAL","WR","00-0028002"
"5",5,2019,"reg","Tavon Austin","T.Austin","DAL","WR","00-0030525"
"6",6,2019,"reg","Chris Jones","C.Jones","DAL","P","00-0028664"
"7",8,2019,"reg","Dalton Schultz","D.Schultz","DAL","TE","00-0034383"
"8",10,2019,"reg","Tony Pollard","T.Pollard","DAL","RB","00-0035261"
"9",13,2019,"reg","Anthony Brown","A.Brown","DAL","CB","00-0033047"
"10",14,2019,"reg","Byron Jones","B.Jones","DAL","CB","00-0032239"
"11",15,2019,"reg","C.J. Goodwin","C.Goodwin","DAL","DB","00-0031357"
"12",16,2019,"reg","Chidobe Awuzie","C.Awuzie","DAL","CB","00-0033548"
"13",17,2019,"reg","Darian Thompson","D.Thompson","DAL","DB","00-0033083"
"14",18,2019,"reg","Deante Burton","D.Burton","DAL","DB","00-0033222"
"15",19,2019,"reg","Donovan Olumba","D.Olumba","DAL","CB","00-0034562"
"16",20,2019,"reg","Donovan Wilson","D.Wilson","DAL","DB","00-0035301"
"17",21,2019,"reg","Jeff Heath","J.Heath","DAL","SS","00-0030196"
"18",22,2019,"reg","Josh Jones","J.Jones","DAL","DB","00-0033903"
"19",23,2019,"reg","Jourdan Lewis","J.Lewis","DAL","CB","00-0033928"
"20",24,2019,"reg","Kavon Frazier","K.Frazier","DAL","FS","00-0033048"
"21",25,2019,"reg","Xavier Woods","X.Woods","DAL","FS","00-0033579"
"22",26,2019,"reg","Chris Covington","C.Covington","DAL","LB","00-0034410"
"23",27,2019,"reg","Jaylon Smith","J.Smith","DAL","MLB","00-0033052"
"24",28,2019,"reg","Joe Thomas","J.Thomas","DAL","LB","00-0030761"
"25",29,2019,"reg","Justin March-Lillard","J.March-Lillard","DAL","LB","00-0031999"
"26",30,2019,"reg","Leighton Vander Esch","L.Esch","DAL","OLB","00-0034674"
"27",31,2019,"reg","Luke Gifford","L.Gifford","DAL","LB","00-0035413"
"28",32,2019,"reg","Malcolm Smith","M.Smith","DAL","OLB","00-0028180"
"29",33,2019,"reg","Ray-Ray Armstrong","R.Armstrong","DAL","LB","00-0030050"
"30",34,2019,"reg","Sean Lee","S.Lee","DAL","OLB","00-0027663"
"31",35,2019,"reg","Antwaun Woods","A.Woods","DAL","DT","00-0032871"
"32",36,2019,"reg","Christian Covington","C.Covington","DAL","DE","00-0031619"
"33",37,2019,"reg","Demarcus Lawrence","D.Lawrence","DAL","DE","00-0031411"
"34",38,2019,"reg","Dorance Armstrong","D.Armstrong","DAL","DE","00-0034373"
"35",39,2019,"reg","Joe Jackson","J.Jackson","DAL","DE","00-0035281"
"36",40,2019,"reg","Justin Hamilton","J.Hamilton","DAL","DT","00-0031636"
"37",41,2019,"reg","Kerry Hyder","K.Hyder","DAL","DE","00-0030946"
"38",42,2019,"reg","Maliek Collins","M.Collins","DAL","DT","00-0033131"
"39",43,2019,"reg","Michael Bennett","M.Bennett","DAL","DE","00-0026618"
"40",44,2019,"reg","Robert Quinn","R.Quinn","DAL","DE","00-0027952"
"41",45,2019,"reg","Trysten Hill","T.Hill","DAL","DT","00-0035247"
"42",46,2019,"reg","Tyrone Crawford","T.Crawford","DAL","DT","00-0029641"
"43",47,2019,"reg","Blake Jarwin","B.Jarwin","DAL","TE","00-0033658"
"44",49,2019,"reg","Jason Witten","J.Witten","DAL","TE","00-0022127"
"45",50,2019,"reg","Amari Cooper","A.Cooper","DAL","WR","00-0031544"
"46",52,2019,"reg","Devin Smith","D.Smith","DAL","WR","00-0031934"
"47",53,2019,"reg","Michael Gallup","M.Gallup","DAL","WR","00-0034764"
"48",56,2019,"reg","Ventell Bryant","V.Bryant","DAL","WR","00-0035548"
"49",57,2019,"reg","Ezekiel Elliott","E.Elliott","DAL","RB","00-0033045"
"50",59,2019,"reg","Dak Prescott","D.Prescott","DAL","QB","00-0033077"
