"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","A.J. Johnson","A.Johnson","DEN","LB","00-0034887"
2019,"reg","Adam Gotsis","A.Gotsis","DEN","DE","00-0033064"
2019,"reg","Alijah Holder","A.Holder","DEN","CB","00-0034948"
2019,"reg","Andrew Beck","A.Beck","DEN","FB","00-0034959"
2019,"reg","Andy Janovich","A.Janovich","DEN","FB","00-0032956"
2019,"reg","Bradley Chubb","B.Chubb","DEN","OLB","00-0034832"
2019,"reg","Brandon Allen","B.Allen","DEN","QB","00-0032434"
2019,"reg","Brandon McManus","B.McManus","DEN","K","00-0029822"
2019,"reg","Bryce Callahan","B.Callahan","DEN","CB","00-0031904"
2019,"reg","Chris Harris","C.Harris","DEN","CB","00-0028224"
2019,"reg","Colby Wadman","C.Wadman","DEN","P","00-0034064"
2019,"reg","Corey Nelson","C.Nelson","DEN","LB","00-0031350"
2019,"reg","Courtland Sutton","C.Sutton","DEN","WR","00-0034348"
2019,"reg","Cyrus Jones","C.Jones","DEN","CB","00-0032390"
2019,"reg","DaeSean Hamilton","D.Hamilton","DEN","WR","00-0034370"
2019,"reg","Davontae Harris","D.Harris","DEN","CB","00-0034388"
2019,"reg","DeMarcus Walker","D.Walker","DEN","DE","00-0033782"
2019,"reg","Derek Wolfe","D.Wolfe","DEN","DE","00-0029586"
2019,"reg","DeVante Bausby","D.Bausby","DEN","CB","00-0031991"
2019,"reg","Devontae Booker","D.Booker","DEN","RB","00-0032972"
2019,"reg","Deyon Sizer","D.Sizer","DEN","DT","00-0035557"
2019,"reg","Diontae Spencer","D.Spencer","DEN","WR","00-0031319"
2019,"reg","Dre'Mont Jones","D.Jones","DEN","DE","00-0035678"
2019,"reg","Drew Lock","D.Lock","DEN","QB","00-0035704"
2019,"reg","Duke Dawson","D.Dawson","DEN","DB","00-0034744"
2019,"reg","Fred Brown","F.Brown","DEN","WR","00-0033994"
2019,"reg","Isaac Yiadom","I.Yiadom","DEN","CB","00-0034780"
2019,"reg","Jeff Heuerman","J.Heuerman","DEN","TE","00-0032227"
2019,"reg","Jeremiah Attaochu","J.Attaochu","DEN","LB","00-0031258"
2019,"reg","Joe Flacco","J.Flacco","DEN","QB","00-0026158"
2019,"reg","Joe Jones","J.Jones","DEN","LB","00-0033659"
2019,"reg","Jonathan Harris","J.Harris","DEN","DE","00-0035073"
2019,"reg","Josey Jewell","J.Jewell","DEN","ILB","00-0034368"
2019,"reg","Josh Watson","J.Watson","DEN","LB","00-0034956"
2019,"reg","Justin Hollins","J.Hollins","DEN","LB","00-0035591"
2019,"reg","Justin Simmons","J.Simmons","DEN","FS","00-0032971"
2019,"reg","Kareem Jackson","K.Jackson","DEN","SS","00-0027872"
2019,"reg","Kyle Peko","K.Peko","DEN","NT","00-0032463"
2019,"reg","Malik Reed","M.Reed","DEN","LB","00-0034954"
2019,"reg","Mike Purcell","M.Purcell","DEN","NT","00-0029890"
2019,"reg","Noah Fant","N.Fant","DEN","TE","00-0035644"
2019,"reg","Phillip Lindsay","P.Lindsay","DEN","RB","00-0034109"
2019,"reg","Royce Freeman","R.Freeman","DEN","RB","00-0034838"
2019,"reg","Shakial Taylor","S.Taylor","DEN","CB","00-0035172"
2019,"reg","Shelby Harris","S.Harris","DEN","DT","00-0031270"
2019,"reg","Tim Patrick","T.Patrick","DEN","WR","00-0033375"
2019,"reg","Todd Davis","T.Davis","DEN","ILB","00-0031427"
2019,"reg","Trey Marshall","T.Marshall","DEN","DB","00-0034111"
2019,"reg","Troy Fumagalli","T.Fumagalli","DEN","TE","00-0034393"
2019,"reg","Von Miller","V.Miller","DEN","OLB","00-0027940"
2019,"reg","Will Parks","W.Parks","DEN","SS","00-0032958"
