"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Matt Prater","M.Prater","DET","K","00-0023853"
2019,"reg","Danny Amendola","D.Amendola","DET","WR","00-0026035"
2019,"reg","Jamal Agnew","J.Agnew","DET","CB","00-0033572"
2019,"reg","Marvin Hall","M.Hall","DET","WR","00-0033094"
2019,"reg","Sam Martin","S.Martin","DET","P","00-0030092"
2019,"reg","Chris Lacy","C.Lacy","DET","WR","00-0034593"
2019,"reg","J.D. McKissic","J.McKissic","DET","RB","00-0032602"
2019,"reg","Ty Johnson","T.Johnson","DET","RB","00-0035537"
2019,"reg","Amani Oruwariye","A.Oruwariye","DET","CB","00-0035270"
2019,"reg","C.J. Moore","C.Moore","DET","DB","00-0035327"
2019,"reg","Darius Slay","D.Slay","DET","CB","00-0030062"
2019,"reg","Dee Virgin","D.Virgin","DET","DB","00-0033779"
2019,"reg","Justin Coleman","J.Coleman","DET","CB","00-0031796"
2019,"reg","Mike Ford","M.Ford","DET","DB","00-0034639"
2019,"reg","Mike Jackson","M.Jackson","DET","CB","00-0035277"
2019,"reg","Miles Killebrew","M.Killebrew","DET","DB","00-0032399"
2019,"reg","Rashaan Melvin","R.Melvin","DET","CB","00-0029901"
2019,"reg","Tavon Wilson","T.Wilson","DET","SS","00-0029410"
2019,"reg","Tracy Walker","T.Walker","DET","FS","00-0034745"
2019,"reg","Will Harris","W.Harris","DET","DB","00-0035655"
2019,"reg","Anthony Pittman","A.Pittman","DET","LB","00-0035330"
2019,"reg","Christian Jones","C.Jones","DET","OLB","00-0031130"
2019,"reg","Devon Kennard","D.Kennard","DET","OLB","00-0031241"
2019,"reg","Jahlani Tavai","J.Tavai","DET","LB","00-0035240"
2019,"reg","Jalen Reeves-Maybin","J.Reeves-Maybin","DET","LB","00-0033557"
2019,"reg","Jarrad Davis","J.Davis","DET","MLB","00-0033539"
2019,"reg","Jason Cabinda","J.Cabinda","DET","LB","00-0034171"
2019,"reg","Steve Longa","S.Longa","DET","LB","00-0032470"
2019,"reg","A'Shawn Robinson","A.Robinson","DET","DT","00-0032889"
2019,"reg","Austin Bryant","A.Bryant","DET","DE","00-0035531"
2019,"reg","Da'Shawn Hand","D.Hand","DET","DE","00-0034371"
2019,"reg","Damon Harrison","D.Harrison","DET","DT","00-0029040"
2019,"reg","Frank Herron","F.Herron","DET","DE","00-0034590"
2019,"reg","Jamie Meder","J.Meder","DET","DT","00-0030697"
2019,"reg","John Atkins","J.Atkins","DET","DT","00-0034586"
2019,"reg","Jonathan Wynn","J.Wynn","DET","DE","00-0034223"
2019,"reg","Kevin Strong","K.Strong","DET","DT","00-0035334"
2019,"reg","Mike Daniels","M.Daniels","DET","DE","00-0029284"
2019,"reg","Romeo Okwara","R.Okwara","DET","DE","00-0032655"
2019,"reg","Trey Flowers","T.Flowers","DET","DE","00-0031566"
2019,"reg","Isaac Nauta","I.Nauta","DET","TE","00-0035539"
2019,"reg","Jesse James","J.James","DET","TE","00-0032135"
2019,"reg","Logan Thomas","L.Thomas","DET","TE","00-0031260"
2019,"reg","T.J. Hockenson","T.Hockenson","DET","TE","00-0035229"
2019,"reg","Kenny Golladay","K.Golladay","DET","WR","00-0033932"
2019,"reg","Marvin Jones","M.Jones","DET","WR","00-0029293"
2019,"reg","Travis Fulgham","T.Fulgham","DET","WR","00-0035592"
2019,"reg","Bo Scarbrough","B.Scarbrough","DET","RB","00-0034432"
2019,"reg","C.J. Anderson","C.Anderson","DET","RB","00-0029854"
2019,"reg","Kerryon Johnson","K.Johnson","DET","RB","00-0034349"
2019,"reg","Tra Carson","T.Carson","DET","RB","00-0032540"
2019,"reg","Wes Hills","W.Hills","DET","RB","00-0035489"
2019,"reg","David Blough","D.Blough","DET","QB","00-0035040"
2019,"reg","Jeff Driskel","J.Driskel","DET","QB","00-0032436"
2019,"reg","Matthew Stafford","M.Stafford","DET","QB","00-0026498"
