"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Mason Crosby","M.Crosby","GB","K","00-0025580"
2019,"reg","Darrius Shepherd","D.Shepherd","GB","WR","00-0035181"
2019,"reg","Tyler Ervin","T.Ervin","GB","RB","00-0032404"
2019,"reg","J.K. Scott","J.Scott","GB","P","00-0034162"
2019,"reg","Chandon Sullivan","C.Sullivan","GB","DB","00-0034468"
2019,"reg","Jamaal Williams","J.Williams","GB","RB","00-0033948"
2019,"reg","Adrian Amos","A.Amos","GB","SS","00-0031584"
2019,"reg","Darnell Savage","D.Savage","GB","FS","00-0034968"
2019,"reg","Ibraheim Campbell","I.Campbell","GB","DB","00-0032198"
2019,"reg","Jaire Alexander","J.Alexander","GB","CB","00-0034728"
2019,"reg","Josh Jackson","J.Jackson","GB","CB","00-0034751"
2019,"reg","Ka'Dar Hollman","K.Hollman","GB","CB","00-0034990"
2019,"reg","Kevin King","K.King","GB","CB","00-0033524"
2019,"reg","Raven Greene","R.Greene","GB","DB","00-0034179"
2019,"reg","Tony Brown","T.Brown","GB","DB","00-0034540"
2019,"reg","Tramon Williams","T.Williams","GB","CB","00-0024061"
2019,"reg","Will Redmond","W.Redmond","GB","CB","00-0033124"
2019,"reg","B.J. Goodson","B.Goodson","GB","MLB","00-0033121"
2019,"reg","Blake Martinez","B.Martinez","GB","ILB","00-0032408"
2019,"reg","Kyler Fackrell","K.Fackrell","GB","LB","00-0032955"
2019,"reg","Oren Burks","O.Burks","GB","ILB","00-0034754"
2019,"reg","Preston Smith","P.Smith","GB","OLB","00-0031935"
2019,"reg","Rashan Gary","R.Gary","GB","LB","00-0034967"
2019,"reg","Tim Williams","T.Williams","GB","LB","00-0033915"
2019,"reg","Ty Summers","T.Summers","GB","LB","00-0034999"
2019,"reg","Za'Darius Smith","Z.Smith","GB","OLB","00-0031576"
2019,"reg","Dean Lowry","D.Lowry","GB","DE","00-0032412"
2019,"reg","Kenny Clark","K.Clark","GB","NT","00-0033120"
2019,"reg","Kingsley Keke","K.Keke","GB","DT","00-0034984"
2019,"reg","Montravius Adams","M.Adams","GB","DT","00-0033929"
2019,"reg","Tyler Lancaster","T.Lancaster","GB","DT","00-0034185"
2019,"reg","Jace Sternberger","J.Sternberger","GB","TE","00-0035671"
2019,"reg","Jimmy Graham","J.Graham","GB","TE","00-0027696"
2019,"reg","Marcedes Lewis","M.Lewis","GB","TE","00-0024243"
2019,"reg","Robert Tonyan","R.Tonyan","GB","TE","00-0033757"
2019,"reg","Allen Lazard","A.Lazard","GB","WR","00-0034521"
2019,"reg","Davante Adams","D.Adams","GB","WR","00-0031381"
2019,"reg","Geronimo Allison","G.Allison","GB","WR","00-0032626"
2019,"reg","Jake Kumerow","J.Kumerow","GB","WR","00-0031787"
2019,"reg","Marquez Valdes-Scantling","M.Valdes-Scantling","GB","WR","00-0034272"
2019,"reg","Aaron Jones","A.Jones","GB","RB","00-0033293"
2019,"reg","Danny Vitale","D.Vitale","GB","FB","00-0032794"
2019,"reg","Dexter Williams","D.Williams","GB","RB","00-0034995"
2019,"reg","Aaron Rodgers","A.Rodgers","GB","QB","00-0023459"
2019,"reg","Tim Boyle","T.Boyle","GB","QB","00-0034177"
