"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Ka'imi Fairbairn","K.Fairbairn","HOU","K","00-0032726"
2019,"reg","DeAndre Carter","D.Carter","HOU","WR","00-0031763"
2019,"reg","Bryan Anger","B.Anger","HOU","P","00-0029692"
2019,"reg","Trevor Daniel","T.Daniel","HOU","P","00-0034626"
2019,"reg","A.J. Moore","A.Moore","HOU","DB","00-0034594"
2019,"reg","Bradley Roby","B.Roby","HOU","CB","00-0031372"
2019,"reg","Cornell Armstrong","C.Armstrong","HOU","DB","00-0034792"
2019,"reg","Gareon Conley","G.Conley","HOU","CB","00-0033882"
2019,"reg","Jahleel Addae","J.Addae","HOU","SS","00-0030312"
2019,"reg","Johnathan Joseph","J.Joseph","HOU","CB","00-0024239"
2019,"reg","Jonathan Owens","J.Owens","HOU","DB","00-0034485"
2019,"reg","Justin Reid","J.Reid","HOU","SS","00-0034361"
2019,"reg","Keion Crossen","K.Crossen","HOU","DB","00-0034435"
2019,"reg","Lonnie Johnson","L.Johnson","HOU","CB","00-0035244"
2019,"reg","Mike Adams","M.Adams","HOU","FS","00-0022247"
2019,"reg","Phillip Gaines","P.Gaines","HOU","CB","00-0031015"
2019,"reg","Tashaun Gipson","T.Gipson","HOU","FS","00-0028924"
2019,"reg","Vernon Hargreaves III","V.III","HOU","CB","00-0032758"
2019,"reg","Barkevious Mingo","B.Mingo","HOU","OLB","00-0030558"
2019,"reg","Benardrick McKinney","B.McKinney","HOU","ILB","00-0031553"
2019,"reg","Brennan Scarlett","B.Scarlett","HOU","OLB","00-0032734"
2019,"reg","Dylan Cole","D.Cole","HOU","LB","00-0033765"
2019,"reg","Jake Martin","J.Martin","HOU","LB","00-0034163"
2019,"reg","Peter Kalambayi","P.Kalambayi","HOU","LB","00-0034421"
2019,"reg","Tyrell Adams","T.Adams","HOU","LB","00-0032094"
2019,"reg","Whitney Mercilus","W.Mercilus","HOU","OLB","00-0029643"
2019,"reg","Zach Cunningham","Z.Cunningham","HOU","ILB","00-0033547"
2019,"reg","Angelo Blackson","A.Blackson","HOU","DE","00-0032107"
2019,"reg","Brandon Dunn","B.Dunn","HOU","NT","00-0031127"
2019,"reg","Carlos Watkins","C.Watkins","HOU","DE","00-0033563"
2019,"reg","Charles Omenihu","C.Omenihu","HOU","DE","00-0035279"
2019,"reg","D.J. Reader","D.Reader","HOU","DE","00-0032424"
2019,"reg","Eddie Vanderdoes","E.Vanderdoes","HOU","DT","00-0033924"
2019,"reg","J.J. Watt","J.Watt","HOU","DE","00-0027949"
2019,"reg","Joel Heath","J.Heath","HOU","DE","00-0032727"
2019,"reg","Darren Fells","D.Fells","HOU","TE","00-0029738"
2019,"reg","Jordan Akins","J.Akins","HOU","TE","00-0034364"
2019,"reg","Jordan Thomas","J.Thomas","HOU","TE","00-0034420"
2019,"reg","DeAndre Hopkins","D.Hopkins","HOU","WR","00-0030564"
2019,"reg","Keke Coutee","K.Coutee","HOU","WR","00-0034366"
2019,"reg","Kenny Stills","K.Stills","HOU","WR","00-0030085"
2019,"reg","Steven Mitchell","S.Mitchell","HOU","WR","00-0034081"
2019,"reg","Will Fuller","W.Fuller","HOU","WR","00-0033127"
2019,"reg","Buddy Howell","B.Howell","HOU","RB","00-0034449"
2019,"reg","Carlos Hyde","C.Hyde","HOU","RB","00-0031045"
2019,"reg","Duke Johnson","D.Johnson","HOU","RB","00-0032257"
2019,"reg","Taiwan Jones","T.Jones","HOU","RB","00-0028063"
2019,"reg","AJ McCarron","A.McCarron","HOU","QB","00-0031288"
2019,"reg","Deshaun Watson","D.Watson","HOU","QB","00-0033537"
