"","X","season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
"1",1,2019,"reg","Adam Vinatieri","A.Vinatieri","IND","K","00-0016919"
"2",2,2019,"reg","Chase McLaughlin","C.McLaughlin","IND","K","00-0035358"
"3",3,2019,"reg","Bobby Okereke","B.Okereke","IND","ILB","00-0035687"
"4",4,2019,"reg","Chester Rogers","C.Rogers","IND","WR","00-0032355"
"5",5,2019,"reg","Nyheim Hines","N.Hines","IND","RB","00-0034367"
"6",6,2019,"reg","Rigoberto Sanchez","R.Sanchez","IND","P","00-0033269"
"7",7,2019,"reg","Ashton Dulin","A.Dulin","IND","WR","00-0035021"
"8",9,2019,"reg","Jordan Wilkins","J.Wilkins","IND","RB","00-0034400"
"9",10,2019,"reg","Marcus Johnson","M.Johnson","IND","WR","00-0032980"
"10",12,2019,"reg","Parris Campbell","P.Campbell","IND","WR","00-0035639"
"11",13,2019,"reg","Zach Pascal","Z.Pascal","IND","WR","00-0033251"
"12",14,2019,"reg","Briean Boddy-Calhoun","B.Boddy-Calhoun","IND","CB","00-0032517"
"13",15,2019,"reg","Clayton Geathers","C.Geathers","IND","SS","00-0031571"
"14",16,2019,"reg","George Odum","G.Odum","IND","DB","00-0034091"
"15",17,2019,"reg","Kenny Moore","K.Moore","IND","CB","00-0033393"
"16",18,2019,"reg","Khari Willis","K.Willis","IND","SAF","00-0035530"
"17",19,2019,"reg","Malik Hooker","M.Hooker","IND","FS","00-0033877"
"18",20,2019,"reg","Marvell Tell","M.Tell","IND","CB","00-0035534"
"19",21,2019,"reg","Pierre Desir","P.Desir","IND","CB","00-0031331"
"20",22,2019,"reg","Quincy Wilson","Q.Wilson","IND","CB","00-0033544"
"21",23,2019,"reg","Rock Ya-Sin","R.Ya-Sin","IND","CB","00-0035637"
"22",24,2019,"reg","Rolan Milligan","R.Milligan","IND","DB","00-0032830"
"23",25,2019,"reg","Anthony Walker","A.Walker","IND","MLB","00-0033570"
"24",27,2019,"reg","Darius Leonard","D.Leonard","IND","OLB","00-0034846"
"25",28,2019,"reg","E.J. Speed","E.Speed","IND","LB","00-0034987"
"26",29,2019,"reg","Matthew Adams","M.Adams","IND","OLB","00-0034424"
"27",30,2019,"reg","Skai Moore","S.Moore","IND","LB","00-0034090"
"28",31,2019,"reg","Zaire Franklin","Z.Franklin","IND","OLB","00-0034431"
"29",32,2019,"reg","Al-Quadin Muhammad","A.Muhammad","IND","DT","00-0033964"
"30",33,2019,"reg","Ben Banogu","B.Banogu","IND","DE","00-0034969"
"31",34,2019,"reg","Denico Autry","D.Autry","IND","DT","00-0031254"
"32",35,2019,"reg","Grover Stewart","G.Stewart","IND","DT","00-0033952"
"33",36,2019,"reg","Jabaal Sheard","J.Sheard","IND","DE","00-0027975"
"34",37,2019,"reg","Justin Houston","J.Houston","IND","DE","00-0028008"
"35",38,2019,"reg","Kemoko Turay","K.Turay","IND","DE","00-0034354"
"36",39,2019,"reg","Margus Hunt","M.Hunt","IND","DE","00-0030449"
"37",40,2019,"reg","Trevon Coley","T.Coley","IND","DT","00-0032566"
"38",41,2019,"reg","Tyquan Lewis","T.Lewis","IND","DE","00-0034359"
"39",42,2019,"reg","Eric Ebron","E.Ebron","IND","TE","00-0031387"
"40",43,2019,"reg","Jack Doyle","J.Doyle","IND","TE","00-0030181"
"41",44,2019,"reg","Mo Alie-Cox","M.Alie-Cox","IND","TE","00-0033217"
"42",46,2019,"reg","Chad Williams","C.Williams","IND","WR","00-0033933"
"43",48,2019,"reg","Devin Funchess","D.Funchess","IND","WR","00-0032055"
"44",49,2019,"reg","Dontrelle Inman","D.Inman","IND","WR","00-0028411"
"45",52,2019,"reg","T.Y. Hilton","T.Hilton","IND","WR","00-0029608"
"46",54,2019,"reg","Jonathan Williams","J.Williams","IND","RB","00-0032975"
"47",56,2019,"reg","Marlon Mack","M.Mack","IND","RB","00-0033951"
"48",58,2019,"reg","Brian Hoyer","B.Hoyer","IND","QB","00-0026625"
"49",59,2019,"reg","Jacoby Brissett","J.Brissett","IND","QB","00-0033119"
