"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Josh Lambo","J.Lambo","JAX","K","00-0032087"
2019,"reg","Dede Westbrook","D.Westbrook","JAX","WR","00-0033839"
2019,"reg","Michael Walker","M.Walker","JAX","WR","00-0035374"
2019,"reg","Logan Cooke","L.Cooke","JAX","P","00-0034437"
2019,"reg","Keelan Cole","K.Cole","JAX","WR","00-0033681"
2019,"reg","A.J. Bouye","A.Bouye","JAX","CB","00-0030228"
2019,"reg","Andrew Wingard","A.Wingard","JAX","DB","00-0035378"
2019,"reg","Brandon Watson","B.Watson","JAX","DB","00-0035375"
2019,"reg","Cody Davis","C.Davis","JAX","DB","00-0029764"
2019,"reg","D.J. Hayden","D.Hayden","JAX","DB","00-0030572"
2019,"reg","Doug Middleton","D.Middleton","JAX","FS","00-0032697"
2019,"reg","Jarrod Wilson","J.Wilson","JAX","FS","00-0032525"
2019,"reg","Josh Robinson","J.Robinson","JAX","DB","00-0029691"
2019,"reg","Marcus Gilchrist","M.Gilchrist","JAX","SS","00-0027988"
2019,"reg","Parry Nickerson","P.Nickerson","JAX","DB","00-0034274"
2019,"reg","Ronnie Harrison","R.Harrison","JAX","SS","00-0034779"
2019,"reg","Tre Herndon","T.Herndon","JAX","CB","00-0034516"
2019,"reg","Austin Calitro","A.Calitro","JAX","OLB","00-0033452"
2019,"reg","D.J. Alexander","D.Alexander","JAX","LB","00-0031950"
2019,"reg","Dakota Allen","D.Allen","JAX","LB","00-0035670"
2019,"reg","Donald Payne","D.Payne","JAX","LB","00-0033420"
2019,"reg","Jake Ryan","J.Ryan","JAX","LB","00-0031578"
2019,"reg","Joe Giles-Harris","J.Giles-Harris","JAX","LB","00-0035363"
2019,"reg","Leon Jacobs","L.Jacobs","JAX","OLB","00-0034428"
2019,"reg","Myles Jack","M.Jack","JAX","MLB","00-0032968"
2019,"reg","Najee Goode","N.Goode","JAX","LB","00-0029418"
2019,"reg","Preston Brown","P.Brown","JAX","MLB","00-0031171"
2019,"reg","Quincy Williams","Q.Williams","JAX","LB","00-0035680"
2019,"reg","Abry Jones","A.Jones","JAX","DT","00-0029946"
2019,"reg","Akeem Spence","A.Spence","JAX","DT","00-0030402"
2019,"reg","Calais Campbell","C.Campbell","JAX","DE","00-0026190"
2019,"reg","Carl Davis","C.Davis","JAX","DT","00-0031938"
2019,"reg","Dawuane Smoot","D.Smoot","JAX","DE","00-0033907"
2019,"reg","Dontavius Russell","D.Russell","JAX","DT","00-0035312"
2019,"reg","Josh Allen","J.Allen","JAX","DE","00-0035642"
2019,"reg","Lerentee McCray","L.McCray","JAX","DE","00-0029799"
2019,"reg","Marcell Dareus","M.Dareus","JAX","DT","00-0027941"
2019,"reg","Taven Bryan","T.Bryan","JAX","DT","00-0034842"
2019,"reg","Yannick Ngakoue","Y.Ngakoue","JAX","DE","00-0033123"
2019,"reg","Ben Koyack","B.Koyack","JAX","TE","00-0032139"
2019,"reg","Charles Jones","C.Jones","JAX","TE","00-0035553"
2019,"reg","Geoff Swaim","G.Swaim","JAX","TE","00-0032141"
2019,"reg","James O'Shaughnessy","J.O'Shaughnessy","JAX","TE","00-0031951"
2019,"reg","Josh Oliver","J.Oliver","JAX","TE","00-0035249"
2019,"reg","Nick O'Leary","N.O'Leary","JAX","TE","00-0032117"
2019,"reg","Seth DeValve","S.DeValve","JAX","TE","00-0033080"
2019,"reg","C.J. Board","C.Board","JAX","WR","00-0033367"
2019,"reg","Chris Conley","C.Conley","JAX","WR","00-0032128"
2019,"reg","D.J. Chark","D.Chark","JAX","WR","00-0034777"
2019,"reg","Marqise Lee","M.Lee","JAX","WR","00-0031431"
2019,"reg","Devine Ozigbo","D.Ozigbo","JAX","RB","00-0035184"
2019,"reg","Leonard Fournette","L.Fournette","JAX","RB","00-0033856"
2019,"reg","Ryquell Armstead","R.Armstead","JAX","RB","00-0035268"
2019,"reg","Gardner Minshew","G.Minshew","JAX","QB","00-0035289"
2019,"reg","Nick Foles","N.Foles","JAX","QB","00-0029567"
