"","X","season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
"1",1,2019,"reg","Harrison Butker","H.Butker","KC","K","00-0033303"
"2",2,2019,"reg","Mecole Hardman","M.Hardman","KC","WR","00-0035140"
"3",3,2019,"reg","Tyreek Hill","T.Hill","KC","WR","00-0033040"
"4",4,2019,"reg","Dustin Colquitt","D.Colquitt","KC","P","00-0023534"
"5",5,2019,"reg","Byron Pringle","B.Pringle","KC","WR","00-0034297"
"6",6,2019,"reg","Darwin Thompson","D.Thompson","KC","RB","00-0035148"
"7",9,2019,"reg","Alex Brown","A.Brown","KC","CB","00-0035634"
"8",10,2019,"reg","Armani Watts","A.Watts","KC","DB","00-0034680"
"9",11,2019,"reg","Bashaud Breeland","B.Breeland","KC","DB","00-0031052"
"10",12,2019,"reg","Charvarius Ward","C.Ward","KC","CB","00-0034573"
"11",13,2019,"reg","Daniel Sorensen","D.Sorensen","KC","DB","00-0030665"
"12",14,2019,"reg","Jordan Lucas","J.Lucas","KC","SS","00-0032797"
"13",15,2019,"reg","Juan Thornhill","J.Thornhill","KC","FS","00-0035625"
"14",16,2019,"reg","Kendall Fuller","K.Fuller","KC","CB","00-0033084"
"15",17,2019,"reg","Morris Claiborne","M.Claiborne","KC","CB","00-0029676"
"16",18,2019,"reg","Rashad Fenton","R.Fenton","KC","DB","00-0035147"
"17",19,2019,"reg","Tyrann Mathieu","T.Mathieu","KC","SS","00-0030459"
"18",20,2019,"reg","Anthony Hitchens","A.Hitchens","KC","ILB","00-0031348"
"19",21,2019,"reg","Ben Niemann","B.Niemann","KC","LB","00-0034296"
"20",22,2019,"reg","Damien Wilson","D.Wilson","KC","OLB","00-0032215"
"21",23,2019,"reg","Darron Lee","D.Lee","KC","ILB","00-0033147"
"22",24,2019,"reg","Demone Harris","D.Harris","KC","LB","00-0034612"
"23",25,2019,"reg","Dorian O'Daniel","D.O'Daniel","KC","LB","00-0034781"
"24",26,2019,"reg","Reggie Ragland","R.Ragland","KC","ILB","00-0033058"
"25",27,2019,"reg","Terrell Suggs","T.Suggs","KC","OLB","00-0022161"
"26",28,2019,"reg","Alex Okafor","A.Okafor","KC","DE","00-0030503"
"27",29,2019,"reg","Chris Jones","C.Jones","KC","DE","00-0032762"
"28",30,2019,"reg","Derrick Nnadi","D.Nnadi","KC","NT","00-0034818"
"29",31,2019,"reg","Emmanuel Ogbah","E.Ogbah","KC","DE","00-0033073"
"30",32,2019,"reg","Frank Clark","F.Clark","KC","DE","00-0032210"
"31",33,2019,"reg","Khalen Saunders","K.Saunders","KC","DT","00-0035656"
"32",34,2019,"reg","Mike Pennel","M.Pennel","KC","DT","00-0030757"
"33",35,2019,"reg","Tanoh Kpassagnon","T.Kpassagnon","KC","DE","00-0033902"
"34",36,2019,"reg","Xavier Williams","X.Williams","KC","NT","00-0031713"
"35",37,2019,"reg","Blake Bell","B.Bell","KC","TE","00-0032062"
"36",38,2019,"reg","Deon Yelder","D.Yelder","KC","TE","00-0034319"
"37",39,2019,"reg","Travis Kelce","T.Kelce","KC","TE","00-0030506"
"38",41,2019,"reg","Demarcus Robinson","D.Robinson","KC","WR","00-0032775"
"39",43,2019,"reg","Sammy Watkins","S.Watkins","KC","WR","00-0031325"
"40",45,2019,"reg","Anthony Sherman","A.Sherman","KC","RB","00-0028074"
"41",46,2019,"reg","Damien Williams","D.Williams","KC","RB","00-0030874"
"42",47,2019,"reg","Darrel Williams","D.Williams","KC","RB","00-0034301"
"43",49,2019,"reg","LeSean McCoy","L.McCoy","KC","RB","00-0027029"
"44",50,2019,"reg","Spencer Ware","S.Ware","KC","RB","00-0030414"
"45",51,2019,"reg","Matt Moore","M.Moore","KC","QB","00-0025708"
"46",52,2019,"reg","Patrick Mahomes","P.Mahomes","KC","QB","00-0033873"
