"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Greg Zuerlein","G.Zuerlein","LA","K","00-0029621"
2019,"reg","JoJo Natson","J.Natson","LA","WR","00-0033266"
2019,"reg","Mike Thomas","M.Thomas","LA","WR","00-0033114"
2019,"reg","Nsimba Webster","N.Webster","LA","WR","00-0035621"
2019,"reg","Johnny Hekker","J.Hekker","LA","P","00-0028872"
2019,"reg","Darrell Henderson","D.Henderson","LA","RB","00-0035664"
2019,"reg","Darious Williams","D.Williams","LA","DB","00-0034203"
2019,"reg","David Long","D.Long","LA","DB","00-0035665"
2019,"reg","Donte' Deayon","D.Deayon","LA","CB","00-0032641"
2019,"reg","Eric Weddle","E.Weddle","LA","FS","00-0025424"
2019,"reg","Jake Gervase","J.Gervase","LA","DB","00-0035609"
2019,"reg","Jalen Ramsey","J.Ramsey","LA","CB","00-0033055"
2019,"reg","John Johnson","J.Johnson","LA","SS","00-0033927"
2019,"reg","Marqui Christian","M.Christian","LA","DB","00-0032786"
2019,"reg","Nick Scott","N.Scott","LA","DB","00-0035669"
2019,"reg","Nickell Robey-Coleman","N.Robey-Coleman","LA","DB","00-0030041"
2019,"reg","Taylor Rapp","T.Rapp","LA","SAF","00-0035663"
2019,"reg","Troy Hill","T.Hill","LA","CB","00-0031785"
2019,"reg","Bryce Hager","B.Hager","LA","LB","00-0032248"
2019,"reg","Clay Matthews","C.Matthews","LA","OLB","00-0027002"
2019,"reg","Cory Littleton","C.Littleton","LA","ILB","00-0032677"
2019,"reg","Dante Fowler","D.Fowler","LA","LB","00-0032052"
2019,"reg","Kenny Young","K.Young","LA","ILB","00-0034266"
2019,"reg","Natrez Patrick","N.Patrick","LA","ILB","00-0035615"
2019,"reg","Obo Okoronkwo","O.Okoronkwo","LA","LB","00-0034807"
2019,"reg","Samson Ebukam","S.Ebukam","LA","OLB","00-0033945"
2019,"reg","Travin Howard","T.Howard","LA","LB","00-0034812"
2019,"reg","Troy Reeder","T.Reeder","LA","LB","00-0035617"
2019,"reg","Aaron Donald","A.Donald","LA","DT","00-0031388"
2019,"reg","Greg Gaines","G.Gaines","LA","DT","00-0035667"
2019,"reg","Michael Brockers","M.Brockers","LA","DE","00-0029630"
2019,"reg","Morgan Fox","M.Fox","LA","DE","00-0032671"
2019,"reg","Sebastian Joseph-Day","S.Joseph-Day","LA","DT","00-0034810"
2019,"reg","Tanzel Smart","T.Smart","LA","DT","00-0033963"
2019,"reg","Gerald Everett","G.Everett","LA","TE","00-0033895"
2019,"reg","Johnny Mundt","J.Mundt","LA","TE","00-0033246"
2019,"reg","Tyler Higbee","T.Higbee","LA","TE","00-0033110"
2019,"reg","Brandin Cooks","B.Cooks","LA","WR","00-0031236"
2019,"reg","Cooper Kupp","C.Kupp","LA","WR","00-0033908"
2019,"reg","Josh Reynolds","J.Reynolds","LA","WR","00-0033943"
2019,"reg","Robert Woods","R.Woods","LA","WR","00-0030431"
2019,"reg","John Kelly","J.Kelly","LA","RB","00-0034808"
2019,"reg","Malcolm Brown","M.Brown","LA","RB","00-0031806"
2019,"reg","Todd Gurley","T.Gurley","LA","RB","00-0032241"
2019,"reg","Blake Bortles","B.Bortles","LA","QB","00-0031407"
2019,"reg","Jared Goff","J.Goff","LA","QB","00-0033106"
