"","X","season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
"1",1,2019,"reg","Mike Badgley","M.Badgley","LAC","K","00-0034084"
"2",2,2019,"reg","Desmond King","D.King","LAC","DB","00-0033566"
"3",3,2019,"reg","Troymaine Pope","T.Pope","LAC","RB","00-0033164"
"4",4,2019,"reg","Ty Long","T.Long","LAC","P","00-0031543"
"5",6,2019,"reg","Justin Jackson","J.Jackson","LAC","RB","00-0034440"
"6",9,2019,"reg","Adrian Phillips","A.Phillips","LAC","DB","00-0031404"
"7",10,2019,"reg","Brandon Facyson","B.Facyson","LAC","DB","00-0034545"
"8",11,2019,"reg","Casey Hayward","C.Hayward","LAC","CB","00-0029261"
"9",12,2019,"reg","Derwin James","D.James","LAC","FS","00-0034790"
"10",14,2019,"reg","Jaylen Watkins","J.Watkins","LAC","FS","00-0031173"
"11",15,2019,"reg","Michael Davis","M.Davis","LAC","CB","00-0033697"
"12",16,2019,"reg","Nasir Adderley","N.Adderley","LAC","DB","00-0035677"
"13",17,2019,"reg","Rayshawn Jenkins","R.Jenkins","LAC","SS","00-0033941"
"14",18,2019,"reg","Roderic Teamer","R.Teamer","LAC","DB","00-0035437"
"15",19,2019,"reg","Tevaughn Campbell","T.Campbell","LAC","DB","00-0034903"
"16",20,2019,"reg","Denzel Perryman","D.Perryman","LAC","MLB","00-0032103"
"17",21,2019,"reg","Drue Tranquill","D.Tranquill","LAC","LB","00-0035262"
"18",22,2019,"reg","Emeke Egbule","E.Egbule","LAC","LB","00-0035538"
"19",23,2019,"reg","Jatavis Brown","J.Brown","LAC","OLB","00-0032895"
"20",24,2019,"reg","Kyzir White","K.White","LAC","OLB","00-0034375"
"21",25,2019,"reg","Nick Dzubnar","N.Dzubnar","LAC","LB","00-0032081"
"22",26,2019,"reg","Thomas Davis","T.Davis","LAC","OLB","00-0023448"
"23",27,2019,"reg","Uchenna Nwosu","U.Nwosu","LAC","LB","00-0034350"
"24",28,2019,"reg","Brandon Mebane","B.Mebane","LAC","DT","00-0025472"
"25",29,2019,"reg","Cortez Broughton","C.Broughton","LAC","DT","00-0035315"
"26",30,2019,"reg","Damion Square","D.Square","LAC","DE","00-0030148"
"27",31,2019,"reg","Isaac Rochell","I.Rochell","LAC","DE","00-0033588"
"28",32,2019,"reg","Jerry Tillery","J.Tillery","LAC","DT","00-0035674"
"29",33,2019,"reg","Joey Bosa","J.Bosa","LAC","DE","00-0033156"
"30",34,2019,"reg","Justin Jones","J.Jones","LAC","DT","00-0034677"
"31",35,2019,"reg","Melvin Ingram","M.Ingram","LAC","DE","00-0029249"
"32",36,2019,"reg","Sylvester Williams","S.Williams","LAC","DT","00-0030577"
"33",37,2019,"reg","T.Y. McGill","T.McGill","LAC","DT","00-0032162"
"34",38,2019,"reg","Hunter Henry","H.Henry","LAC","TE","00-0033090"
"35",39,2019,"reg","Lance Kendricks","L.Kendricks","LAC","TE","00-0027985"
"36",40,2019,"reg","Sean Culkin","S.Culkin","LAC","TE","00-0033696"
"37",41,2019,"reg","Virgil Green","V.Green","LAC","TE","00-0028142"
"38",42,2019,"reg","Andre Patton","A.Patton","LAC","WR","00-0033705"
"39",43,2019,"reg","Geremy Davis","G.Davis","LAC","WR","00-0031953"
"40",44,2019,"reg","Jalen Guyton","J.Guyton","LAC","WR","00-0035414"
"41",45,2019,"reg","Jason Moore","J.Moore","LAC","WR","00-0035432"
"42",46,2019,"reg","Keenan Allen","K.Allen","LAC","WR","00-0030279"
"43",47,2019,"reg","Mike Williams","M.Williams","LAC","WR","00-0033536"
"44",48,2019,"reg","Travis Benjamin","T.Benjamin","LAC","WR","00-0029269"
"45",49,2019,"reg","Austin Ekeler","A.Ekeler","LAC","RB","00-0033699"
"46",50,2019,"reg","Derek Watt","D.Watt","LAC","FB","00-0032897"
"47",52,2019,"reg","Melvin Gordon","M.Gordon","LAC","RB","00-0032144"
"48",54,2019,"reg","Philip Rivers","P.Rivers","LAC","QB","00-0022942"
"49",55,2019,"reg","Tyrod Taylor","T.Taylor","LAC","QB","00-0028118"
