"","X","season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
"1",1,2019,"reg","Jason Sanders","J.Sanders","MIA","K","00-0034794"
"2",2,2019,"reg","Jakeem Grant","J.Grant","MIA","WR","00-0032791"
"3",3,2019,"reg","Marcus Sherels","M.Sherels","MIA","DB","00-0027547"
"4",4,2019,"reg","Preston Williams","P.Williams","MIA","WR","00-0035350"
"5",5,2019,"reg","Trevor Davis","T.Davis","MIA","WR","00-0032423"
"6",6,2019,"reg","Matt Haack","M.Haack","MIA","P","00-0033400"
"7",7,2019,"reg","Durham Smythe","D.Smythe","MIA","TE","00-0034798"
"8",8,2019,"reg","Isaiah Ford","I.Ford","MIA","WR","00-0033471"
"9",13,2019,"reg","Adrian Colbert","A.Colbert","MIA","FS","00-0033302"
"10",14,2019,"reg","Bobby McCain","B.McCain","MIA","SS","00-0031587"
"11",15,2019,"reg","Eric Rowe","E.Rowe","MIA","CB","00-0031555"
"12",16,2019,"reg","Jomal Wiltz","J.Wiltz","MIA","CB","00-0033734"
"13",17,2019,"reg","Ken Crawley","K.Crawley","MIA","CB","00-0032875"
"14",18,2019,"reg","Ken Webster","K.Webster","MIA","DB","00-0035318"
"15",19,2019,"reg","Linden Stephens","L.Stephens","MIA","CB","00-0034130"
"16",21,2019,"reg","Montre Hartage","M.Hartage","MIA","DB","00-0035339"
"17",22,2019,"reg","Nate Brooks","N.Brooks","MIA","DB","00-0035485"
"18",23,2019,"reg","Nik Needham","N.Needham","MIA","DB","00-0035346"
"19",24,2019,"reg","Reshad Jones","R.Jones","MIA","FS","00-0027762"
"20",25,2019,"reg","Ryan Lewis","R.Lewis","MIA","CB","00-0033608"
"21",26,2019,"reg","Steven Parker","S.Parker","MIA","DB","00-0034736"
"22",27,2019,"reg","Tae Hayes","T.Hayes","MIA","DB","00-0035365"
"23",28,2019,"reg","Walt Aikens","W.Aikens","MIA","DB","00-0031307"
"24",29,2019,"reg","Xavien Howard","X.Howard","MIA","CB","00-0033050"
"25",30,2019,"reg","Andrew Van Ginkel","A.Ginkel","MIA","OLB","00-0035272"
"26",31,2019,"reg","Calvin Munson","C.Munson","MIA","LB","00-0033716"
"27",32,2019,"reg","Charles Harris","C.Harris","MIA","LB","00-0033880"
"28",33,2019,"reg","Deon Lacey","D.Lacey","MIA","LB","00-0030197"
"29",34,2019,"reg","Jamal Davis","J.Davis","MIA","LB","00-0035449"
"30",35,2019,"reg","James Crawford","J.Crawford","MIA","LB","00-0034881"
"31",36,2019,"reg","Jerome Baker","J.Baker","MIA","OLB","00-0034797"
"32",37,2019,"reg","Raekwon McMillan","R.McMillan","MIA","MLB","00-0033461"
"33",38,2019,"reg","Sam Eguavoen","S.Eguavoen","MIA","LB","00-0034902"
"34",39,2019,"reg","Trent Harris","T.Harris","MIA","LB","00-0034588"
"35",40,2019,"reg","Vince Biegel","V.Biegel","MIA","LB","00-0033939"
"36",41,2019,"reg","Avery Moss","A.Moss","MIA","DE","00-0033574"
"37",42,2019,"reg","Christian Wilkins","C.Wilkins","MIA","DT","00-0035231"
"38",43,2019,"reg","Davon Godchaux","D.Godchaux","MIA","DT","00-0033860"
"39",44,2019,"reg","Gerald Willis","G.Willis","MIA","DT","00-0035128"
"40",45,2019,"reg","John Jenkins","J.Jenkins","MIA","DT","00-0030070"
"41",46,2019,"reg","Jonathan Ledbetter","J.Ledbetter","MIA","DE","00-0035343"
"42",47,2019,"reg","Robert Nkemdiche","R.Nkemdiche","MIA","DT","00-0032761"
"43",48,2019,"reg","Taco Charlton","T.Charlton","MIA","DE","00-0033541"
"44",49,2019,"reg","Tank Carradine","T.Carradine","MIA","DE","00-0030457"
"45",50,2019,"reg","Zach Sieler","Z.Sieler","MIA","DE","00-0034285"
"46",51,2019,"reg","Clive Walford","C.Walford","MIA","TE","00-0032256"
"47",53,2019,"reg","Mike Gesicki","M.Gesicki","MIA","TE","00-0034829"
"48",54,2019,"reg","Albert Wilson","A.Wilson","MIA","WR","00-0030669"
"49",55,2019,"reg","Allen Hurns","A.Hurns","MIA","WR","00-0030821"
"50",56,2019,"reg","DeVante Parker","D.Parker","MIA","WR","00-0031547"
"51",59,2019,"reg","Mack Hollins","M.Hollins","MIA","WR","00-0033555"
"52",61,2019,"reg","De'Lance Turner","D.Turner","MIA","RB","00-0034201"
"53",62,2019,"reg","Kalen Ballage","K.Ballage","MIA","RB","00-0034799"
"54",63,2019,"reg","Mark Walton","M.Walton","MIA","RB","00-0034679"
"55",64,2019,"reg","Myles Gaskin","M.Gaskin","MIA","RB","00-0035311"
"56",65,2019,"reg","Patrick Laird","P.Laird","MIA","RB","00-0035342"
"57",66,2019,"reg","Samaje Perine","S.Perine","MIA","RB","00-0033526"
"58",67,2019,"reg","Josh Rosen","J.Rosen","MIA","QB","00-0034343"
"59",68,2019,"reg","Ryan Fitzpatrick","R.Fitzpatrick","MIA","QB","00-0023682"
