"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Dan Bailey","D.Bailey","MIN","K","00-0028660"
2019,"reg","Bisi Johnson","B.Johnson","MIN","WR","00-0035006"
2019,"reg","Chad Beebe","C.Beebe","MIN","WR","00-0034309"
2019,"reg","Marcus Sherels","M.Sherels","MIN","DB","00-0027547"
2019,"reg","Mike Hughes","M.Hughes","MIN","CB","00-0034843"
2019,"reg","Britton Colquitt","B.Colquitt","MIN","P","00-0026516"
2019,"reg","Ameer Abdullah","A.Abdullah","MIN","RB","00-0032104"
2019,"reg","C.J. Ham","C.Ham","MIN","FB","00-0032918"
2019,"reg","Andrew Sendejo","A.Sendejo","MIN","SS","00-0027914"
2019,"reg","Anthony Harris","A.Harris","MIN","DB","00-0031799"
2019,"reg","Harrison Smith","H.Smith","MIN","FS","00-0029606"
2019,"reg","Holton Hill","H.Hill","MIN","DB","00-0034213"
2019,"reg","Jayron Kearse","J.Kearse","MIN","SAF","00-0032454"
2019,"reg","Kris Boyd","K.Boyd","MIN","DB","00-0035150"
2019,"reg","Mackensie Alexander","M.Alexander","MIN","CB","00-0032389"
2019,"reg","Mark Fields","M.Fields","MIN","CB","00-0035155"
2019,"reg","Nathan Meadors","N.Meadors","MIN","DB","00-0035108"
2019,"reg","Trae Waynes","T.Waynes","MIN","CB","00-0031546"
2019,"reg","Xavier Rhodes","X.Rhodes","MIN","CB","00-0030575"
2019,"reg","Anthony Barr","A.Barr","MIN","OLB","00-0031256"
2019,"reg","Ben Gedeon","B.Gedeon","MIN","OLB","00-0033944"
2019,"reg","Cameron Smith","C.Smith","MIN","ILB","00-0034986"
2019,"reg","Eric Kendricks","E.Kendricks","MIN","MLB","00-0031554"
2019,"reg","Eric Wilson","E.Wilson","MIN","LB","00-0033336"
2019,"reg","Kentrell Brothers","K.Brothers","MIN","LB","00-0032422"
2019,"reg","Armon Watts","A.Watts","MIN","DT","00-0034992"
2019,"reg","Danielle Hunter","D.Hunter","MIN","DE","00-0031565"
2019,"reg","Everson Griffen","E.Griffen","MIN","DE","00-0027701"
2019,"reg","Hercules Mata'afa","H.Mata'afa","MIN","DE","00-0034215"
2019,"reg","Ifeadi Odenigbo","I.Odenigbo","MIN","DE","00-0033969"
2019,"reg","Jaleel Johnson","J.Johnson","MIN","DT","00-0033940"
2019,"reg","Jalyn Holmes","J.Holmes","MIN","DT","00-0034264"
2019,"reg","Linval Joseph","L.Joseph","MIN","DT","00-0027885"
2019,"reg","Shamar Stephen","S.Stephen","MIN","DT","00-0031242"
2019,"reg","Stephen Weatherly","S.Weatherly","MIN","DE","00-0032448"
2019,"reg","Irv Smith","I.Smith","MIN","TE","00-0034970"
2019,"reg","Kyle Rudolph","K.Rudolph","MIN","TE","00-0027981"
2019,"reg","Tyler Conklin","T.Conklin","MIN","TE","00-0034270"
2019,"reg","Adam Thielen","A.Thielen","MIN","WR","00-0030035"
2019,"reg","Alexander Hollins","A.Hollins","MIN","WR","00-0035104"
2019,"reg","Laquon Treadwell","L.Treadwell","MIN","WR","00-0032951"
2019,"reg","Stefon Diggs","S.Diggs","MIN","WR","00-0031588"
2019,"reg","Alexander Mattison","A.Mattison","MIN","RB","00-0034972"
2019,"reg","Dalvin Cook","D.Cook","MIN","RB","00-0033893"
2019,"reg","Mike Boone","M.Boone","MIN","RB","00-0034208"
2019,"reg","Kirk Cousins","K.Cousins","MIN","QB","00-0029604"
2019,"reg","Sean Mannion","S.Mannion","MIN","QB","00-0032245"
