"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Mike Nugent","M.Nugent","NE","K","00-0023482"
2019,"reg","Nick Folk","N.Folk","NE","K","00-0025565"
2019,"reg","Stephen Gostkowski","S.Gostkowski","NE","K","00-0024333"
2019,"reg","Gunner Olszewski","G.Olszewski","NE","WR","00-0035645"
2019,"reg","Mohamed Sanu","M.Sanu","NE","WR","00-0029632"
2019,"reg","Jake Bailey","J.Bailey","NE","P","00-0035280"
2019,"reg","Brandon Bolden","B.Bolden","NE","RB","00-0029239"
2019,"reg","James White","J.White","NE","RB","00-0031062"
2019,"reg","Julian Edelman","J.Edelman","NE","WR","00-0027150"
2019,"reg","Devin McCourty","D.McCourty","NE","FS","00-0027647"
2019,"reg","Duron Harmon","D.Harmon","NE","SS","00-0030383"
2019,"reg","J.C. Jackson","J.Jackson","NE","CB","00-0034591"
2019,"reg","Jason McCourty","J.McCourty","NE","CB","00-0027136"
2019,"reg","Joejuan Williams","J.Williams","NE","CB","00-0035241"
2019,"reg","Jonathan Jones","J.Jones","NE","CB","00-0032580"
2019,"reg","Justin Bethel","J.Bethel","NE","DB","00-0029530"
2019,"reg","Nate Ebner","N.Ebner","NE","DB","00-0029570"
2019,"reg","Obi Melifonwu","O.Melifonwu","NE","DB","00-0033900"
2019,"reg","Patrick Chung","P.Chung","NE","SS","00-0027010"
2019,"reg","Stephon Gilmore","S.Gilmore","NE","CB","00-0029542"
2019,"reg","Terrence Brooks","T.Brooks","NE","DB","00-0031338"
2019,"reg","Dont'a Hightower","D.Hightower","NE","OLB","00-0029669"
2019,"reg","Elandon Roberts","E.Roberts","NE","OLB","00-0032442"
2019,"reg","Ja'Whaun Bentley","J.Bentley","NE","LB","00-0034385"
2019,"reg","Jamie Collins","J.Collins","NE","OLB","00-0030421"
2019,"reg","Kyle Van Noy","K.Noy","NE","MLB","00-0031360"
2019,"reg","Adam Butler","A.Butler","NE","DT","00-0033381"
2019,"reg","Byron Cowart","B.Cowart","NE","DT","00-0035278"
2019,"reg","Chase Winovich","C.Winovich","NE","DE","00-0035654"
2019,"reg","Danny Shelton","D.Shelton","NE","DT","00-0032143"
2019,"reg","Deatrich Wise","D.Wise","NE","DE","00-0033947"
2019,"reg","John Simon","J.Simon","NE","DE","00-0030442"
2019,"reg","Lawrence Guy","L.Guy","NE","DT","00-0028171"
2019,"reg","Shilique Calhoun","S.Calhoun","NE","DE","00-0033122"
2019,"reg","Benjamin Watson","B.Watson","NE","TE","00-0022943"
2019,"reg","Matt LaCosse","M.LaCosse","NE","TE","00-0031744"
2019,"reg","Ryan Izzo","R.Izzo","NE","TE","00-0034439"
2019,"reg","Antonio Brown","A.Brown","NE","WR","00-0027793"
2019,"reg","Jakobi Meyers","J.Meyers","NE","WR","00-0034960"
2019,"reg","N'Keal Harry","N.Harry","NE","WR","00-0035624"
2019,"reg","Phillip Dorsett","P.Dorsett","NE","WR","00-0032208"
2019,"reg","Damien Harris","D.Harris","NE","RB","00-0035657"
2019,"reg","James Develin","J.Develin","NE","FB","00-0027925"
2019,"reg","Rex Burkhead","R.Burkhead","NE","RB","00-0030288"
2019,"reg","Sony Michel","S.Michel","NE","RB","00-0034845"
2019,"reg","Jarrett Stidham","J.Stidham","NE","QB","00-0035264"
2019,"reg","Tom Brady","T.Brady","NE","QB","00-0019596"
