"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Wil Lutz","W.Lutz","NO","K","00-0032569"
2019,"reg","Alvin Kamara","A.Kamara","NO","RB","00-0033906"
2019,"reg","Deonte Harris","D.Harris","NO","WR","00-0035215"
2019,"reg","Thomas Morstead","T.Morstead","NO","P","00-0027114"
2019,"reg","Dwayne Washington","D.Washington","NO","RB","00-0032450"
2019,"reg","Jason Vander Laan","J.Laan","NO","TE","00-0032689"
2019,"reg","Taysom Hill","T.Hill","NO","QB","00-0033357"
2019,"reg","Ted Ginn","T.Ginn","NO","WR","00-0025396"
2019,"reg","Chauncey Gardner-Johnson","C.Gardner-Johnson","NO","DB","00-0035253"
2019,"reg","D.J. Swearinger","D.Swearinger","NO","FS","00-0030566"
2019,"reg","Eli Apple","E.Apple","NO","CB","00-0032379"
2019,"reg","J.T. Gray","J.Gray","NO","DB","00-0034116"
2019,"reg","Janoris Jenkins","J.Jenkins","NO","CB","00-0029681"
2019,"reg","Johnson Bademosi","J.Bademosi","NO","DB","00-0029065"
2019,"reg","Justin Hardee","J.Hardee","NO","DB","00-0033770"
2019,"reg","Marcus Williams","M.Williams","NO","FS","00-0033894"
2019,"reg","Marshon Lattimore","M.Lattimore","NO","CB","00-0033874"
2019,"reg","P.J. Williams","P.Williams","NO","CB","00-0032059"
2019,"reg","Patrick Robinson","P.Robinson","NO","DB","00-0027882"
2019,"reg","Saquan Hampton","S.Hampton","NO","DB","00-0035288"
2019,"reg","Vonn Bell","V.Bell","NO","SS","00-0032939"
2019,"reg","A.J. Klein","A.Klein","NO","OLB","00-0030463"
2019,"reg","Alex Anzalone","A.Anzalone","NO","MLB","00-0033914"
2019,"reg","Craig Robertson","C.Robertson","NO","LB","00-0028834"
2019,"reg","Demario Davis","D.Davis","NO","OLB","00-0029607"
2019,"reg","Kaden Elliss","K.Elliss","NO","LB","00-0035316"
2019,"reg","Kiko Alonso","K.Alonso","NO","OLB","00-0030401"
2019,"reg","Manti Te'o","M.Te'o","NO","MLB","00-0030278"
2019,"reg","Stephone Anthony","S.Anthony","NO","LB","00-0032102"
2019,"reg","Cameron Jordan","C.Jordan","NO","DE","00-0027962"
2019,"reg","Carl Granderson","C.Granderson","NO","DE","00-0035402"
2019,"reg","David Onyemata","D.Onyemata","NO","DT","00-0033051"
2019,"reg","Malcom Brown","M.Brown","NO","DT","00-0032261"
2019,"reg","Marcus Davenport","M.Davenport","NO","DE","00-0034344"
2019,"reg","Mario Edwards","M.Edwards","NO","DE","00-0032265"
2019,"reg","Mitchell Loewen","M.Loewen","NO","DE","00-0032883"
2019,"reg","Noah Spence","N.Spence","NO","DE","00-0032952"
2019,"reg","Sheldon Rankins","S.Rankins","NO","DT","00-0032759"
2019,"reg","Shy Tuttle","S.Tuttle","NO","DT","00-0035409"
2019,"reg","Taylor Stallworth","T.Stallworth","NO","DT","00-0034325"
2019,"reg","Trey Hendrickson","T.Hendrickson","NO","DE","00-0033935"
2019,"reg","Jared Cook","J.Cook","NO","TE","00-0027061"
2019,"reg","Josh Hill","J.Hill","NO","TE","00-0030216"
2019,"reg","Austin Carr","A.Carr","NO","WR","00-0033382"
2019,"reg","Krishawn Hogan","K.Hogan","NO","WR","00-0033604"
2019,"reg","Lil'Jordan Humphrey","L.Humphrey","NO","WR","00-0035406"
2019,"reg","Michael Thomas","M.Thomas","NO","WR","00-0032765"
2019,"reg","Tre'Quan Smith","T.Smith","NO","WR","00-0034765"
2019,"reg","Latavius Murray","L.Murray","NO","RB","00-0030513"
2019,"reg","Zach Line","Z.Line","NO","FB","00-0029931"
2019,"reg","Drew Brees","D.Brees","NO","QB","00-0020531"
2019,"reg","Teddy Bridgewater","T.Bridgewater","NO","QB","00-0031237"
