"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Aldrick Rosas","A.Rosas","NYG","K","00-0032870"
2019,"reg","Da'Mari Scott","D.Scott","NYG","WR","00-0034256"
2019,"reg","Golden Tate","G.Tate","NYG","WR","00-0027891"
2019,"reg","Jabrill Peppers","J.Peppers","NYG","FS","00-0033883"
2019,"reg","T.J. Jones","T.Jones","NYG","WR","00-0031189"
2019,"reg","Riley Dixon","R.Dixon","NYG","P","00-0032943"
2019,"reg","Cody Latimer","C.Latimer","NYG","WR","00-0031344"
2019,"reg","Corey Ballentine","C.Ballentine","NYG","DB","00-0035633"
2019,"reg","Darius Slayton","D.Slayton","NYG","WR","00-0035535"
2019,"reg","Oshane Ximines","O.Ximines","NYG","LB","00-0035708"
2019,"reg","Antoine Bethea","A.Bethea","NYG","FS","00-0024421"
2019,"reg","Antonio Hamilton","A.Hamilton","NYG","CB","00-0032933"
2019,"reg","Deandre Baker","D.Baker","NYG","CB","00-0035684"
2019,"reg","Grant Haley","G.Haley","NYG","DB","00-0034502"
2019,"reg","Julian Love","J.Love","NYG","CB","00-0034974"
2019,"reg","Michael Thomas","M.Thomas","NYG","DB","00-0028908"
2019,"reg","Rashaan Gaulden","R.Gaulden","NYG","DB","00-0034362"
2019,"reg","Sam Beal","S.Beal","NYG","DB","00-0034839"
2019,"reg","Sean Chandler","S.Chandler","NYG","DB","00-0034496"
2019,"reg","Alec Ogletree","A.Ogletree","NYG","OLB","00-0030527"
2019,"reg","Chris Peace","C.Peace","NYG","LB","00-0035434"
2019,"reg","David Mayo","D.Mayo","NYG","OLB","00-0031596"
2019,"reg","Deone Bucannon","D.Bucannon","NYG","OLB","00-0031366"
2019,"reg","Devante Downs","D.Downs","NYG","LB","00-0034167"
2019,"reg","Josiah Tauaefa","J.Tauaefa","NYG","LB","00-0035016"
2019,"reg","Kareem Martin","K.Martin","NYG","OLB","00-0031050"
2019,"reg","Lorenzo Carter","L.Carter","NYG","LB","00-0034360"
2019,"reg","Markus Golden","M.Golden","NYG","LB","00-0032127"
2019,"reg","Nate Stupar","N.Stupar","NYG","MLB","00-0029629"
2019,"reg","Ryan Connelly","R.Connelly","NYG","ILB","00-0035533"
2019,"reg","B.J. Hill","B.Hill","NYG","DE","00-0034800"
2019,"reg","Chris Slayton","C.Slayton","NYG","DT","00-0035004"
2019,"reg","Dalvin Tomlinson","D.Tomlinson","NYG","DE","00-0033546"
2019,"reg","Dexter Lawrence","D.Lawrence","NYG","DT","00-0035683"
2019,"reg","Leonard Williams","L.Williams","NYG","DE","00-0031933"
2019,"reg","R.J. McIntosh","R.McIntosh","NYG","DT","00-0034848"
2019,"reg","Evan Engram","E.Engram","NYG","TE","00-0033881"
2019,"reg","Kaden Smith","K.Smith","NYG","TE","00-0034988"
2019,"reg","Rhett Ellison","R.Ellison","NYG","TE","00-0029587"
2019,"reg","Scott Simonson","S.Simonson","NYG","TE","00-0031167"
2019,"reg","Bennie Fowler","B.Fowler","NYG","WR","00-0030670"
2019,"reg","Cody Core","C.Core","NYG","WR","00-0032795"
2019,"reg","Russell Shepard","R.Shepard","NYG","WR","00-0030147"
2019,"reg","Sterling Shepard","S.Shepard","NYG","WR","00-0032385"
2019,"reg","Elijhaa Penny","E.Penny","NYG","RB","00-0032813"
2019,"reg","Javorius Allen","J.Allen","NYG","RB","00-0031577"
2019,"reg","Jon Hilliman","J.Hilliman","NYG","RB","00-0035013"
2019,"reg","Saquon Barkley","S.Barkley","NYG","RB","00-0034844"
2019,"reg","Wayne Gallman","W.Gallman","NYG","RB","00-0033950"
2019,"reg","Alex Tanney","A.Tanney","NYG","QB","00-0029623"
2019,"reg","Daniel Jones","D.Jones","NYG","QB","00-0035710"
2019,"reg","Eli Manning","E.Manning","NYG","QB","00-0022803"
