"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Sam Ficken","S.Ficken","NYJ","K","00-0033138"
2019,"reg","Braxton Berrios","B.Berrios","NYJ","WR","00-0034419"
2019,"reg","Lac Edwards","L.Edwards","NYJ","P","00-0032449"
2019,"reg","Trenton Cannon","T.Cannon","NYJ","RB","00-0034164"
2019,"reg","Ty Montgomery","T.Montgomery","NYJ","RB","00-0032200"
2019,"reg","Vyncint Smith","V.Smith","NYJ","WR","00-0034631"
2019,"reg","Arthur Maulet","A.Maulet","NYJ","CB","00-0033503"
2019,"reg","Bennett Jackson","B.Jackson","NYJ","DB","00-0031188"
2019,"reg","Blake Countess","B.Countess","NYJ","CB","00-0032793"
2019,"reg","Blessuan Austin","B.Austin","NYJ","DB","00-0035294"
2019,"reg","Brian Poole","B.Poole","NYJ","CB","00-0032596"
2019,"reg","Darryl Roberts","D.Roberts","NYJ","CB","00-0031628"
2019,"reg","Jamal Adams","J.Adams","NYJ","SS","00-0033872"
2019,"reg","Kyron Brown","K.Brown","NYJ","CB","00-0035499"
2019,"reg","Marcus Maye","M.Maye","NYJ","FS","00-0033892"
2019,"reg","Matthias Farley","M.Farley","NYJ","DB","00-0032496"
2019,"reg","Maurice Canady","M.Canady","NYJ","CB","00-0032438"
2019,"reg","Nate Hairston","N.Hairston","NYJ","CB","00-0033568"
2019,"reg","Rontez Miles","R.Miles","NYJ","DB","00-0030170"
2019,"reg","Trumaine Johnson","T.Johnson","NYJ","CB","00-0029690"
2019,"reg","Albert McClellan","A.McClellan","NYJ","LB","00-0027560"
2019,"reg","B.J. Bello","B.Bello","NYJ","LB","00-0033642"
2019,"reg","Blake Cashman","B.Cashman","NYJ","LB","00-0035276"
2019,"reg","Brandon Copeland","B.Copeland","NYJ","OLB","00-0030010"
2019,"reg","C.J. Mosley","C.Mosley","NYJ","ILB","00-0031296"
2019,"reg","Frankie Luvu","F.Luvu","NYJ","LB","00-0034302"
2019,"reg","Harvey Langi","H.Langi","NYJ","LB","00-0033392"
2019,"reg","James Burgess","J.Burgess","NYJ","OLB","00-0032627"
2019,"reg","Jordan Jenkins","J.Jenkins","NYJ","OLB","00-0032970"
2019,"reg","Neville Hewitt","N.Hewitt","NYJ","LB","00-0031740"
2019,"reg","Paul Worrilow","P.Worrilow","NYJ","LB","00-0029792"
2019,"reg","Tarell Basham","T.Basham","NYJ","LB","00-0033917"
2019,"reg","Bronson Kaufusi","B.Kaufusi","NYJ","DE","00-0033117"
2019,"reg","Foley Fatukasi","F.Fatukasi","NYJ","DT","00-0034275"
2019,"reg","Henry Anderson","H.Anderson","NYJ","DE","00-0032269"
2019,"reg","John Franklin-Myers","J.Franklin-Myers","NYJ","DE","00-0034805"
2019,"reg","Jordan Willis","J.Willis","NYJ","DE","00-0033912"
2019,"reg","Kyle Phillips","K.Phillips","NYJ","DE","00-0035507"
2019,"reg","Nathan Shepherd","N.Shepherd","NYJ","DE","00-0034760"
2019,"reg","Quinnen Williams","Q.Williams","NYJ","DT","00-0035718"
2019,"reg","Steve McLendon","S.McLendon","NYJ","NT","00-0026564"
2019,"reg","Chris Herndon","C.Herndon","NYJ","TE","00-0034766"
2019,"reg","Daniel Brown","D.Brown","NYJ","TE","00-0032098"
2019,"reg","Ryan Griffin","R.Griffin","NYJ","TE","00-0030108"
2019,"reg","Trevon Wesco","T.Wesco","NYJ","TE","00-0035259"
2019,"reg","Demaryius Thomas","D.Thomas","NYJ","WR","00-0027874"
2019,"reg","Jamison Crowder","J.Crowder","NYJ","WR","00-0031941"
2019,"reg","Jeff Smith","J.Smith","NYJ","WR","00-0035510"
2019,"reg","Josh Bellamy","J.Bellamy","NYJ","WR","00-0029319"
2019,"reg","Quincy Enunwa","Q.Enunwa","NYJ","WR","00-0031023"
2019,"reg","Robby Anderson","R.Anderson","NYJ","WR","00-0032688"
2019,"reg","Bilal Powell","B.Powell","NYJ","RB","00-0028064"
2019,"reg","Josh Adams","J.Adams","NYJ","RB","00-0034457"
2019,"reg","Le'Veon Bell","L.Bell","NYJ","RB","00-0030496"
2019,"reg","David Fales","D.Fales","NYJ","QB","00-0031076"
2019,"reg","Luke Falk","L.Falk","NYJ","QB","00-0034412"
2019,"reg","Sam Darnold","S.Darnold","NYJ","QB","00-0034869"
2019,"reg","Trevor Siemian","T.Siemian","NYJ","QB","00-0032156"
