"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Daniel Carlson","D.Carlson","OAK","K","00-0034161"
2019,"reg","Dwayne Harris","D.Harris","OAK","WR","00-0028114"
2019,"reg","Hunter Renfrow","H.Renfrow","OAK","WR","00-0034983"
2019,"reg","Jalen Richard","J.Richard","OAK","RB","00-0033025"
2019,"reg","A.J. Cole","A.Cole","OAK","P","00-0035190"
2019,"reg","Keisean Nixon","K.Nixon","OAK","DB","00-0035133"
2019,"reg","Curtis Riley","C.Riley","OAK","FS","00-0032042"
2019,"reg","Dallin Leavitt","D.Leavitt","OAK","DB","00-0034726"
2019,"reg","Daryl Worley","D.Worley","OAK","CB","00-0032891"
2019,"reg","Erik Harris","E.Harris","OAK","FS","00-0032320"
2019,"reg","Isaiah Johnson","I.Johnson","OAK","CB","00-0034980"
2019,"reg","Johnathan Abram","J.Abram","OAK","DB","00-0035693"
2019,"reg","Karl Joseph","K.Joseph","OAK","SS","00-0032888"
2019,"reg","Lamarcus Joyner","L.Joyner","OAK","FS","00-0031389"
2019,"reg","Nevin Lawson","N.Lawson","OAK","CB","00-0031176"
2019,"reg","Nick Nelson","N.Nelson","OAK","CB","00-0034767"
2019,"reg","Trayvon Mullen","T.Mullen","OAK","CB","00-0035695"
2019,"reg","Brandon Marshall","B.Marshall","OAK","ILB","00-0029620"
2019,"reg","Justin Phillips","J.Phillips","OAK","LB","00-0035419"
2019,"reg","Kyle Wilber","K.Wilber","OAK","LB","00-0029647"
2019,"reg","Marquel Lee","M.Lee","OAK","MLB","00-0033956"
2019,"reg","Nicholas Morrow","N.Morrow","OAK","LB","00-0033445"
2019,"reg","Tahir Whitehead","T.Whitehead","OAK","OLB","00-0029212"
2019,"reg","Ukeme Eligwe","U.Eligwe","OAK","LB","00-0033468"
2019,"reg","Vontaze Burfict","V.Burfict","OAK","OLB","00-0028912"
2019,"reg","Will Compton","W.Compton","OAK","ILB","00-0029869"
2019,"reg","Arden Key","A.Key","OAK","DE","00-0034825"
2019,"reg","Benson Mayowa","B.Mayowa","OAK","DE","00-0030380"
2019,"reg","Clelin Ferrell","C.Ferrell","OAK","DE","00-0035692"
2019,"reg","Dion Jordan","D.Jordan","OAK","DE","00-0030555"
2019,"reg","Jeremiah Valoaga","J.Valoaga","OAK","DE","00-0033758"
2019,"reg","Johnathan Hankins","J.Hankins","OAK","DT","00-0030063"
2019,"reg","Josh Mauro","J.Mauro","OAK","DE","00-0030883"
2019,"reg","Kasim Edebali","K.Edebali","OAK","DE","00-0031255"
2019,"reg","Maurice Hurst","M.Hurst","OAK","DT","00-0034746"
2019,"reg","Maxx Crosby","M.Crosby","OAK","DE","00-0034973"
2019,"reg","Olsen Pierre","O.Pierre","OAK","DT","00-0031914"
2019,"reg","P.J. Hall","P.Hall","OAK","DT","00-0034262"
2019,"reg","Terrell McClain","T.McClain","OAK","DT","00-0028003"
2019,"reg","Darren Waller","D.Waller","OAK","TE","00-0031610"
2019,"reg","Derek Carrier","D.Carrier","OAK","TE","00-0029119"
2019,"reg","Foster Moreau","F.Moreau","OAK","TE","00-0034981"
2019,"reg","J.J. Nelson","J.Nelson","OAK","WR","00-0032112"
2019,"reg","Keelan Doss","K.Doss","OAK","WR","00-0035120"
2019,"reg","Marcell Ateman","M.Ateman","OAK","WR","00-0034747"
2019,"reg","Rico Gafford","R.Gafford","OAK","WR","00-0034660"
2019,"reg","Tyrell Williams","T.Williams","OAK","WR","00-0032160"
2019,"reg","Zay Jones","Z.Jones","OAK","WR","00-0033891"
2019,"reg","Alec Ingold","A.Ingold","OAK","RB","00-0035125"
2019,"reg","DeAndre Washington","D.Washington","OAK","RB","00-0032940"
2019,"reg","Josh Jacobs","J.Jacobs","OAK","RB","00-0035700"
2019,"reg","Derek Carr","D.Carr","OAK","QB","00-0031280"
2019,"reg","Mike Glennon","M.Glennon","OAK","QB","00-0030520"
