"","X","season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
"1",1,2019,"reg","Jake Elliott","J.Elliott","PHI","K","00-0033787"
"2",2,2019,"reg","Boston Scott","B.Scott","PHI","RB","00-0034414"
"3",3,2019,"reg","Corey Clement","C.Clement","PHI","RB","00-0033725"
"4",4,2019,"reg","Darren Sproles","D.Sproles","PHI","RB","00-0023564"
"5",5,2019,"reg","Greg Ward","G.Ward","PHI","WR","00-0033733"
"6",6,2019,"reg","Nelson Agholor","N.Agholor","PHI","WR","00-0031549"
"7",7,2019,"reg","Cameron Johnston","C.Johnston","PHI","P","00-0033729"
"8",10,2019,"reg","Dallas Goedert","D.Goedert","PHI","TE","00-0034351"
"9",11,2019,"reg","Miles Sanders","M.Sanders","PHI","RB","00-0035243"
"10",12,2019,"reg","Nate Gerry","N.Gerry","PHI","LB","00-0033577"
"11",14,2019,"reg","Avonte Maddox","A.Maddox","PHI","CB","00-0034377"
"12",15,2019,"reg","Craig James","C.James","PHI","DB","00-0034310"
"13",16,2019,"reg","Cre'von LeBlanc","C.LeBlanc","PHI","CB","00-0032581"
"14",17,2019,"reg","Jalen Mills","J.Mills","PHI","CB","00-0032803"
"15",18,2019,"reg","Malcolm Jenkins","M.Jenkins","PHI","SS","00-0026990"
"16",19,2019,"reg","Marcus Epps","M.Epps","PHI","SAF","00-0034993"
"17",20,2019,"reg","Orlando Scandrick","O.Scandrick","PHI","DB","00-0026283"
"18",21,2019,"reg","Rasul Douglas","R.Douglas","PHI","CB","00-0033551"
"19",22,2019,"reg","Rodney McLeod","R.McLeod","PHI","FS","00-0028899"
"20",23,2019,"reg","Ronald Darby","R.Darby","PHI","CB","00-0032195"
"21",24,2019,"reg","Rudy Ford","R.Ford","PHI","DB","00-0033792"
"22",25,2019,"reg","Sidney Jones","S.Jones","PHI","CB","00-0033543"
"23",26,2019,"reg","Alex Singleton","A.Singleton","PHI","LB","00-0031898"
"24",27,2019,"reg","Duke Riley","D.Riley","PHI","MLB","00-0033549"
"25",28,2019,"reg","Kamu Grugier-Hill","K.Grugier-Hill","PHI","OLB","00-0032437"
"26",30,2019,"reg","Nigel Bradham","N.Bradham","PHI","OLB","00-0029272"
"27",31,2019,"reg","T.J. Edwards","T.Edwards","PHI","LB","00-0035386"
"28",32,2019,"reg","Zach Brown","Z.Brown","PHI","ILB","00-0029566"
"29",33,2019,"reg","Albert Huggins","A.Huggins","PHI","DT","00-0035455"
"30",34,2019,"reg","Anthony Rush","A.Rush","PHI","NT","00-0035390"
"31",35,2019,"reg","Brandon Graham","B.Graham","PHI","DE","00-0027865"
"32",36,2019,"reg","Bruce Hector","B.Hector","PHI","DT","00-0034461"
"33",37,2019,"reg","Daeshon Hall","D.Hall","PHI","DE","00-0033285"
"34",38,2019,"reg","Derek Barnett","D.Barnett","PHI","DE","00-0033876"
"35",39,2019,"reg","Fletcher Cox","F.Cox","PHI","DT","00-0029653"
"36",40,2019,"reg","Genard Avery","G.Avery","PHI","DE","00-0034682"
"37",41,2019,"reg","Hassan Ridgeway","H.Ridgeway","PHI","DT","00-0032402"
"38",42,2019,"reg","Josh Sweat","J.Sweat","PHI","DE","00-0034381"
"39",43,2019,"reg","Malik Jackson","M.Jackson","PHI","DT","00-0029568"
"40",44,2019,"reg","Shareef Miller","S.Miller","PHI","DE","00-0035267"
"41",45,2019,"reg","Timmy Jernigan","T.Jernigan","PHI","DT","00-0031170"
"42",46,2019,"reg","Vinny Curry","V.Curry","PHI","DE","00-0029412"
"43",48,2019,"reg","Josh Perkins","J.Perkins","PHI","TE","00-0032599"
"44",49,2019,"reg","Zach Ertz","Z.Ertz","PHI","TE","00-0030061"
"45",50,2019,"reg","Alshon Jeffery","A.Jeffery","PHI","WR","00-0029137"
"46",51,2019,"reg","Deontay Burnett","D.Burnett","PHI","WR","00-0034653"
"47",52,2019,"reg","DeSean Jackson","D.Jackson","PHI","WR","00-0026189"
"48",54,2019,"reg","J.J. Arcega-Whiteside","J.Arcega-Whiteside","PHI","WR","00-0035246"
"49",56,2019,"reg","Robert Davis","R.Davis","PHI","WR","00-0033530"
"50",59,2019,"reg","Jay Ajayi","J.Ajayi","PHI","RB","00-0031590"
"51",60,2019,"reg","Jordan Howard","J.Howard","PHI","RB","00-0032780"
"52",62,2019,"reg","Carson Wentz","C.Wentz","PHI","QB","00-0032950"
"53",63,2019,"reg","Josh McCown","J.McCown","PHI","QB","00-0021206"
