"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Chris Boswell","C.Boswell","PIT","K","00-0031136"
2019,"reg","Cameron Sutton","C.Sutton","PIT","CB","00-0033930"
2019,"reg","Diontae Johnson","D.Johnson","PIT","WR","00-0035216"
2019,"reg","Ryan Switzer","R.Switzer","PIT","WR","00-0033562"
2019,"reg","Jordan Berry","J.Berry","PIT","P","00-0031502"
2019,"reg","Benny Snell","B.Snell","PIT","RB","00-0035217"
2019,"reg","Johnny Holton","J.Holton","PIT","WR","00-0032935"
2019,"reg","Kerrith Whyte","K.Whyte","PIT","RB","00-0035596"
2019,"reg","Artie Burns","A.Burns","PIT","CB","00-0033103"
2019,"reg","Joe Haden","J.Haden","PIT","CB","00-0027860"
2019,"reg","Jordan Dangerfield","J.Dangerfield","PIT","DB","00-0030023"
2019,"reg","Justin Layne","J.Layne","PIT","CB","00-0035650"
2019,"reg","Kam Kelly","K.Kelly","PIT","DB","00-0034556"
2019,"reg","Marcus Allen","M.Allen","PIT","DB","00-0034335"
2019,"reg","Mike Hilton","M.Hilton","PIT","CB","00-0032521"
2019,"reg","Minkah Fitzpatrick","M.Fitzpatrick","PIT","FS","00-0034789"
2019,"reg","Sean Davis","S.Davis","PIT","FS","00-0033053"
2019,"reg","Steven Nelson","S.Nelson","PIT","CB","00-0032150"
2019,"reg","Terrell Edmunds","T.Edmunds","PIT","SS","00-0034858"
2019,"reg","Anthony Chickillo","A.Chickillo","PIT","LB","00-0031956"
2019,"reg","Bud Dupree","B.Dupree","PIT","OLB","00-0032146"
2019,"reg","Devin Bush","D.Bush","PIT","LB","00-0035525"
2019,"reg","Jay Elliott","J.Elliott","PIT","LB","00-0030752"
2019,"reg","Mark Barron","M.Barron","PIT","ILB","00-0029670"
2019,"reg","Ola Adeniyi","O.Adeniyi","PIT","LB","00-0034204"
2019,"reg","Robert Spillane","R.Spillane","PIT","LB","00-0034720"
2019,"reg","T.J. Watt","T.Watt","PIT","OLB","00-0033886"
2019,"reg","Tuzar Skipper","T.Skipper","PIT","LB","00-0035579"
2019,"reg","Tyler Matakevich","T.Matakevich","PIT","ILB","00-0032366"
2019,"reg","Ulysees Gilbert","U.Gilbert","PIT","LB","00-0035223"
2019,"reg","Vince Williams","V.Williams","PIT","ILB","00-0030434"
2019,"reg","Cameron Heyward","C.Heyward","PIT","DE","00-0027969"
2019,"reg","Dan McCullers","D.McCullers","PIT","DT","00-0031193"
2019,"reg","Isaiah Buggs","I.Buggs","PIT","DT","00-0035219"
2019,"reg","Javon Hargrave","J.Hargrave","PIT","NT","00-0033109"
2019,"reg","L.T. Walton","L.Walton","PIT","DE","00-0031607"
2019,"reg","Stephon Tuitt","S.Tuitt","PIT","DE","00-0031412"
2019,"reg","Tyson Alualu","T.Alualu","PIT","DE","00-0027862"
2019,"reg","Nick Vannett","N.Vannett","PIT","TE","00-0032394"
2019,"reg","Vance McDonald","V.McDonald","PIT","TE","00-0030470"
2019,"reg","Xavier Grimble","X.Grimble","PIT","TE","00-0031035"
2019,"reg","Zach Gentry","Z.Gentry","PIT","TE","00-0035222"
2019,"reg","Deon Cain","D.Cain","PIT","WR","00-0034406"
2019,"reg","James Washington","J.Washington","PIT","WR","00-0034676"
2019,"reg","JuJu Smith-Schuster","J.Smith-Schuster","PIT","WR","00-0033857"
2019,"reg","James Conner","J.Conner","PIT","RB","00-0033553"
2019,"reg","Jaylen Samuels","J.Samuels","PIT","RB","00-0034331"
2019,"reg","Trey Edmunds","T.Edmunds","PIT","RB","00-0033838"
2019,"reg","Ben Roethlisberger","B.Roethlisberger","PIT","QB","00-0022924"
2019,"reg","Devlin Hodges","D.Hodges","PIT","QB","00-0035577"
2019,"reg","Mason Rudolph","M.Rudolph","PIT","QB","00-0034771"
