"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Jason Myers","J.Myers","SEA","K","00-0031492"
2019,"reg","David Moore","D.Moore","SEA","WR","00-0033589"
2019,"reg","Tyler Lockett","T.Lockett","SEA","WR","00-0032211"
2019,"reg","Michael Dickson","M.Dickson","SEA","P","00-0034160"
2019,"reg","Rashaad Penny","R.Penny","SEA","RB","00-0034750"
2019,"reg","Travis Homer","T.Homer","SEA","RB","00-0035594"
2019,"reg","Akeem King","A.King","SEA","CB","00-0031630"
2019,"reg","Bradley McDougald","B.McDougald","SEA","SS","00-0030161"
2019,"reg","Lano Hill","L.Hill","SEA","DB","00-0033931"
2019,"reg","Marquise Blair","M.Blair","SEA","FS","00-0035139"
2019,"reg","Neiko Thorpe","N.Thorpe","SEA","DB","00-0029329"
2019,"reg","Quandre Diggs","Q.Diggs","SEA","DB","00-0031608"
2019,"reg","Ryan Neal","R.Neal","SEA","DB","00-0034527"
2019,"reg","Shaquill Griffin","S.Griffin","SEA","CB","00-0033926"
2019,"reg","Tedric Thompson","T.Thompson","SEA","FS","00-0033554"
2019,"reg","Tre Flowers","T.Flowers","SEA","CB","00-0034756"
2019,"reg","Ugo Amadi","U.Amadi","SEA","CB","00-0035142"
2019,"reg","Ben Burr-Kirven","B.Burr-Kirven","SEA","LB","00-0035143"
2019,"reg","Bobby Wagner","B.Wagner","SEA","MLB","00-0029255"
2019,"reg","Cody Barton","C.Barton","SEA","LB","00-0035672"
2019,"reg","Dekoda Watson","D.Watson","SEA","LB","00-0027812"
2019,"reg","K.J. Wright","K.Wright","SEA","OLB","00-0028037"
2019,"reg","Mychal Kendricks","M.Kendricks","SEA","LB","00-0029409"
2019,"reg","Shaquem Griffin","S.Griffin","SEA","OLB","00-0034755"
2019,"reg","Al Woods","A.Woods","SEA","DT","00-0027723"
2019,"reg","Branden Jackson","B.Jackson","SEA","DE","00-0033024"
2019,"reg","Bryan Mone","B.Mone","SEA","NT","00-0035094"
2019,"reg","Ezekiel Ansah","E.Ansah","SEA","DE","00-0030059"
2019,"reg","Jadeveon Clowney","J.Clowney","SEA","DE","00-0031364"
2019,"reg","Jarran Reed","J.Reed","SEA","DT","00-0032387"
2019,"reg","L.J. Collier","L.Collier","SEA","DE","00-0035636"
2019,"reg","Poona Ford","P.Ford","SEA","DT","00-0034234"
2019,"reg","Quinton Jefferson","Q.Jefferson","SEA","DT","00-0032416"
2019,"reg","Rasheem Green","R.Green","SEA","DE","00-0034831"
2019,"reg","Jacob Hollister","J.Hollister","SEA","TE","00-0033387"
2019,"reg","Luke Willson","L.Willson","SEA","TE","00-0030089"
2019,"reg","Tyrone Swoopes","T.Swoopes","SEA","TE","00-0033742"
2019,"reg","Will Dissly","W.Dissly","SEA","TE","00-0034159"
2019,"reg","DK Metcalf","D.Metcalf","SEA","WR","00-0035640"
2019,"reg","Jaron Brown","J.Brown","SEA","WR","00-0030300"
2019,"reg","John Ursua","J.Ursua","SEA","WR","00-0035597"
2019,"reg","Josh Gordon","J.Gordon","SEA","WR","00-0029664"
2019,"reg","Malik Turner","M.Turner","SEA","WR","00-0034867"
2019,"reg","C.J. Prosise","C.Prosise","SEA","RB","00-0032393"
2019,"reg","Chris Carson","C.Carson","SEA","RB","00-0033594"
2019,"reg","Marshawn Lynch","M.Lynch","SEA","RB","00-0025399"
2019,"reg","Russell Wilson","R.Wilson","SEA","QB","00-0029263"
