"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Ahkello Witherspoon","A.Witherspoon","SF","CB","00-0033783"
2019,"reg","Anthony Zettel","A.Zettel","SF","DE","00-0032435"
2019,"reg","Antone Exum","A.Exum","SF","SS","00-0031267"
2019,"reg","Arik Armstead","A.Armstead","SF","DE","00-0032164"
2019,"reg","Azeez Al-Shaair","A.Al-Shaair","SF","LB","00-0035166"
2019,"reg","D.J. Jones","D.Jones","SF","DT","00-0033297"
2019,"reg","D.J. Reed","D.Reed","SF","FS","00-0034384"
2019,"reg","Damontre Moore","D.Moore","SF","DE","00-0030069"
2019,"reg","Dante Pettis","D.Pettis","SF","WR","00-0034860"
2019,"reg","Dee Ford","D.Ford","SF","DE","00-0031297"
2019,"reg","Deebo Samuel","D.Samuel","SF","WR","00-0035719"
2019,"reg","DeForest Buckner","D.Buckner","SF","DT","00-0032378"
2019,"reg","Dontae Johnson","D.Johnson","SF","DB","00-0031061"
2019,"reg","Dre Greenlaw","D.Greenlaw","SF","LB","00-0034982"
2019,"reg","Elijah Lee","E.Lee","SF","OLB","00-0033973"
2019,"reg","Emmanuel Moseley","E.Moseley","SF","DB","00-0034096"
2019,"reg","Emmanuel Sanders","E.Sanders","SF","WR","00-0027685"
2019,"reg","Fred Warner","F.Warner","SF","MLB","00-0034815"
2019,"reg","George Kittle","G.Kittle","SF","TE","00-0033288"
2019,"reg","Jaquiski Tartt","J.Tartt","SF","SS","00-0032057"
2019,"reg","Jason Verrett","J.Verrett","SF","DB","00-0031334"
2019,"reg","Jeff Wilson","J.Wilson","SF","RB","00-0034115"
2019,"reg","Jimmie Ward","J.Ward","SF","FS","00-0031298"
2019,"reg","Jimmy Garoppolo","J.Garoppolo","SF","QB","00-0031345"
2019,"reg","Jullian Taylor","J.Taylor","SF","DT","00-0034283"
2019,"reg","K'Waun Williams","K.Williams","SF","DB","00-0031253"
2019,"reg","Kendrick Bourne","K.Bourne","SF","WR","00-0033307"
2019,"reg","Kentavius Street","K.Street","SF","DE","00-0034320"
2019,"reg","Kevin Givens","K.Givens","SF","DT","00-0035026"
2019,"reg","Kwon Alexander","K.Alexander","SF","MLB","00-0032109"
2019,"reg","Kyle Juszczyk","K.Juszczyk","SF","FB","00-0029892"
2019,"reg","Levine Toilolo","L.Toilolo","SF","TE","00-0030443"
2019,"reg","Marcell Harris","M.Harris","SF","DB","00-0034730"
2019,"reg","Mark Nzeocha","M.Nzeocha","SF","OLB","00-0031961"
2019,"reg","Marquise Goodwin","M.Goodwin","SF","WR","00-0030068"
2019,"reg","Matt Breida","M.Breida","SF","RB","00-0033308"
2019,"reg","Mitch Wishnowsky","M.Wishnowsky","SF","P","00-0034941"
2019,"reg","Nick Bosa","N.Bosa","SF","DE","00-0035717"
2019,"reg","Raheem Mostert","R.Mostert","SF","RB","00-0031687"
2019,"reg","Richard Sherman","R.Sherman","SF","CB","00-0028092"
2019,"reg","Richie James","R.James","SF","WR","00-0034286"
2019,"reg","Robbie Gould","R.Gould","SF","K","00-0023252"
2019,"reg","Ronald Blair","R.Blair","SF","DE","00-0032413"
2019,"reg","Ross Dwelley","R.Dwelley","SF","TE","00-0034073"
2019,"reg","Sheldon Day","S.Day","SF","DT","00-0033010"
2019,"reg","Solomon Thomas","S.Thomas","SF","DE","00-0033870"
2019,"reg","Tarvarius Moore","T.Moore","SF","FS","00-0034263"
2019,"reg","Tevin Coleman","T.Coleman","SF","RB","00-0032058"
