"","X","season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
"1",1,2019,"reg","Andrew Adams","A.Adams","TB","SS","00-0032637"
"2",2,2019,"reg","Anthony Nelson","A.Nelson","TB","LB","00-0035254"
"3",3,2019,"reg","Antony Auclair","A.Auclair","TB","TE","00-0033421"
"4",4,2019,"reg","Beau Allen","B.Allen","TB","DT","00-0031089"
"5",5,2019,"reg","Bradley Pinion","B.Pinion","TB","P","00-0032065"
"6",6,2019,"reg","Breshad Perriman","B.Perriman","TB","WR","00-0032054"
"7",7,2019,"reg","Cameron Brate","C.Brate","TB","TE","00-0031273"
"8",8,2019,"reg","Carl Nassib","C.Nassib","TB","LB","00-0033129"
"9",9,2019,"reg","Carlton Davis","C.Davis","TB","CB","00-0034778"
"10",10,2019,"reg","Chris Godwin","C.Godwin","TB","WR","00-0033921"
"11",11,2019,"reg","Codey McElroy","C.McElroy","TB","TE","00-0034735"
"12",12,2019,"reg","Cyril Grayson","C.Grayson","TB","WR","00-0033215"
"13",13,2019,"reg","Dare Ogunbowale","D.Ogunbowale","TB","RB","00-0033854"
"14",14,2019,"reg","Darian Stewart","D.Stewart","TB","SS","00-0027256"
"15",15,2019,"reg","Devin White","D.White","TB","LB","00-0035707"
"16",16,2019,"reg","Ishmael Hyman","I.Hyman","TB","WR","00-0034922"
"17",17,2019,"reg","Jack Cichy","J.Cichy","TB","LB","00-0034415"
"18",18,2019,"reg","Jameis Winston","J.Winston","TB","QB","00-0031503"
"19",19,2019,"reg","Jamel Dean","J.Dean","TB","DB","00-0035699"
"20",20,2019,"reg","Jason Pierre-Paul","J.Pierre-Paul","TB","LB","00-0027867"
"21",21,2019,"reg","Jordan Whitehead","J.Whitehead","TB","FS","00-0034374"
"22",22,2019,"reg","Justin Evans","J.Evans","TB","SS","00-0033898"
"23",23,2019,"reg","Justin Watson","J.Watson","TB","WR","00-0034386"
"24",24,2019,"reg","Kahzin Daniels","K.Daniels","TB","LB","00-0035469"
"25",25,2019,"reg","Kevin Minter","K.Minter","TB","LB","00-0030382"
"26",26,2019,"reg","Lavonte David","L.David","TB","OLB","00-0029562"
"27",27,2019,"reg","M.J. Stewart","M.Stewart","TB","CB","00-0034355"
"28",28,2019,"reg","Matt Gay","M.Gay","TB","K","00-0035269"
"29",29,2019,"reg","Mazzi Wilkins","M.Wilkins","TB","CB","00-0035714"
"30",30,2019,"reg","Mike Edwards","M.Edwards","TB","SAF","00-0035681"
"31",31,2019,"reg","Mike Evans","M.Evans","TB","WR","00-0031408"
"32",32,2019,"reg","Ndamukong Suh","N.Suh","TB","NT","00-0027855"
"33",33,2019,"reg","Noah Dawkins","N.Dawkins","TB","LB","00-0035549"
"34",34,2019,"reg","O.J. Howard","O.Howard","TB","TE","00-0033879"
"35",35,2019,"reg","Pat O'Connor","P.O'Connor","TB","LB","00-0033595"
"36",36,2019,"reg","Peyton Barber","P.Barber","TB","RB","00-0032741"
"37",37,2019,"reg","Rakeem Nunez-Roches","R.Nunez-Roches","TB","DT","00-0031957"
"38",38,2019,"reg","Ronald Jones","R.Jones","TB","RB","00-0034816"
"39",39,2019,"reg","Ryan Griffin","R.Griffin","TB","QB","00-0029857"
"40",40,2019,"reg","Ryan Smith","R.Smith","TB","CB","00-0032772"
"41",41,2019,"reg","Sam Acho","S.Acho","TB","LB","00-0028041"
"42",42,2019,"reg","Scott Miller","S.Miller","TB","WR","00-0035298"
"43",43,2019,"reg","Sean Murphy-Bunting","S.Murphy-Bunting","TB","DB","00-0035239"
"44",44,2019,"reg","Shaquil Barrett","S.Barrett","TB","LB","00-0031101"
"45",45,2019,"reg","Spencer Schnell","S.Schnell","TB","WR","00-0035587"
"46",46,2019,"reg","T.J. Logan","T.Logan","TB","RB","00-0033789"
"47",47,2019,"reg","Tanner Hudson","T.Hudson","TB","TE","00-0034613"
"48",48,2019,"reg","Vita Vea","V.Vea","TB","DT","00-0034773"
"49",49,2019,"reg","William Gholston","W.Gholston","TB","DT","00-0030386"
