"season","season_type","full_player_name","abbr_player_name","team","position","gsis_id"
2019,"reg","Cairo Santos","C.Santos","TEN","K","00-0031203"
2019,"reg","Cody Parkey","C.Parkey","TEN","K","00-0030850"
2019,"reg","Greg Joseph","G.Joseph","TEN","K","00-0034450"
2019,"reg","Ryan Succop","R.Succop","TEN","K","00-0026968"
2019,"reg","Adam Humphries","A.Humphries","TEN","WR","00-0032009"
2019,"reg","Adoree' Jackson","A.Jackson","TEN","CB","00-0033878"
2019,"reg","Kalif Raymond","K.Raymond","TEN","WR","00-0032464"
2019,"reg","LeShaun Sims","L.Sims","TEN","CB","00-0032783"
2019,"reg","Rashard Davis","R.Davis","TEN","WR","00-0034034"
2019,"reg","Brett Kern","B.Kern","TEN","P","00-0025825"
2019,"reg","Darius Jennings","D.Jennings","TEN","WR","00-0031972"
2019,"reg","Jonnu Smith","J.Smith","TEN","TE","00-0033858"
2019,"reg","Ryan Santoso","R.Santoso","TEN","K","00-0034648"
2019,"reg","Amani Hooker","A.Hooker","TEN","DB","00-0035632"
2019,"reg","Chris Milton","C.Milton","TEN","CB","00-0032353"
2019,"reg","Dane Cruikshank","D.Cruikshank","TEN","DB","00-0034389"
2019,"reg","Joshua Kalu","J.Kalu","TEN","DB","00-0034662"
2019,"reg","Kareem Orr","K.Orr","TEN","DB","00-0035573"
2019,"reg","Kenny Vaccaro","K.Vaccaro","TEN","SS","00-0030060"
2019,"reg","Kevin Byard","K.Byard","TEN","FS","00-0033132"
2019,"reg","Logan Ryan","L.Ryan","TEN","CB","00-0030411"
2019,"reg","Malcolm Butler","M.Butler","TEN","CB","00-0031218"
2019,"reg","Tramaine Brock","T.Brock","TEN","DB","00-0027375"
2019,"reg","Tye Smith","T.Smith","TEN","CB","00-0031597"
2019,"reg","Cameron Wake","C.Wake","TEN","LB","00-0023368"
2019,"reg","Daren Bates","D.Bates","TEN","LB","00-0029794"
2019,"reg","David Long","D.Long","TEN","LB","00-0035292"
2019,"reg","Derick Roberson","D.Roberson","TEN","LB","00-0035521"
2019,"reg","Harold Landry","H.Landry","TEN","LB","00-0034828"
2019,"reg","Jayon Brown","J.Brown","TEN","ILB","00-0033954"
2019,"reg","Kamalei Correa","K.Correa","TEN","OLB","00-0032386"
2019,"reg","Nigel Harris","N.Harris","TEN","LB","00-0033700"
2019,"reg","Rashaan Evans","R.Evans","TEN","ILB","00-0034743"
2019,"reg","Reggie Gilbert","R.Gilbert","TEN","LB","00-0032633"
2019,"reg","Sharif Finch","S.Finch","TEN","LB","00-0034659"
2019,"reg","Wesley Woodyard","W.Woodyard","TEN","ILB","00-0025828"
2019,"reg","Austin Johnson","A.Johnson","TEN","NT","00-0032763"
2019,"reg","DaQuan Jones","D.Jones","TEN","DE","00-0031054"
2019,"reg","Isaiah Mack","I.Mack","TEN","DT","00-0035519"
2019,"reg","Jeffery Simmons","J.Simmons","TEN","DT","00-0035643"
2019,"reg","Joey Ivie","J.Ivie","TEN","DT","00-0033590"
2019,"reg","Jurrell Casey","J.Casey","TEN","DE","00-0028015"
2019,"reg","Matt Dickerson","M.Dickerson","TEN","DE","00-0034657"
2019,"reg","Anthony Firkser","A.Firkser","TEN","TE","00-0033455"
2019,"reg","Delanie Walker","D.Walker","TEN","TE","00-0024389"
2019,"reg","MyCole Pruitt","M.Pruitt","TEN","TE","00-0031585"
2019,"reg","A.J. Brown","A.Brown","TEN","WR","00-0035676"
2019,"reg","Cody Hollister","C.Hollister","TEN","WR","00-0033386"
2019,"reg","Corey Davis","C.Davis","TEN","WR","00-0033871"
2019,"reg","Tajae Sharpe","T.Sharpe","TEN","WR","00-0032778"
2019,"reg","Dalyn Dawkins","D.Dawkins","TEN","RB","00-0034654"
2019,"reg","Derrick Henry","D.Henry","TEN","RB","00-0032764"
2019,"reg","Dion Lewis","D.Lewis","TEN","RB","00-0028087"
2019,"reg","Marcus Mariota","M.Mariota","TEN","QB","00-0032268"
2019,"reg","Ryan Tannehill","R.Tannehill","TEN","QB","00-0029701"
